,model,dic,model_type
20,angle_mod_1486_1,-50270.82638240733,Collapsing Bounds
2076,angle_mod_1386_1,-50270.789995467676,Collapsing Bounds
1637,angle_mod_917_1,-50270.66235454653,Collapsing Bounds
2128,angle_mod_1328_1,-50270.61325595611,Collapsing Bounds
2448,angle_mod_2122_1,-50270.53143485174,Collapsing Bounds
818,angle_mod_1273_1,-50270.43975091655,Collapsing Bounds
320,angle_mod_2009_1,-50270.05657197096,Collapsing Bounds
2429,angle_mod_1348_1,-50269.806953144565,Collapsing Bounds
2500,angle_mod_2335_1,-50269.70060413858,Collapsing Bounds
912,angle_mod_1300_1,-50269.529468132576,Collapsing Bounds
1260,angle_mod_1771_1,-50269.33523069862,Collapsing Bounds
1500,angle_mod_1066_1,-50269.22580525842,Collapsing Bounds
162,angle_mod_1015_1,-50269.12464778534,Collapsing Bounds
61,angle_mod_1078_1,-50268.91466018634,Collapsing Bounds
1520,angle_mod_777_1,-50268.51392553034,Collapsing Bounds
948,angle_mod_714_1,-50268.2299722613,Collapsing Bounds
1547,angle_mod_757_1,-50267.71042581827,Collapsing Bounds
1238,angle_mod_1767_1,-50267.576569159486,Collapsing Bounds
2332,angle_mod_788_1,-50267.45327973102,Collapsing Bounds
1656,angle_mod_2129_1,-50267.424842221415,Collapsing Bounds
1334,angle_mod_1659_1,-50267.26576865845,Collapsing Bounds
1382,angle_mod_1733_1,-50267.25944151277,Collapsing Bounds
1127,angle_mod_980_1,-50267.166564673236,Collapsing Bounds
1610,angle_mod_1115_1,-50266.894155518865,Collapsing Bounds
1482,angle_mod_736_1,-50266.58857310885,Collapsing Bounds
2564,angle_mod_1485_1,-50266.485669890906,Collapsing Bounds
2442,angle_mod_1974_1,-50266.43244286747,Collapsing Bounds
1284,angle_mod_1663_1,-50266.331247936796,Collapsing Bounds
2208,angle_mod_1596_1,-50266.27487847577,Collapsing Bounds
2242,angle_mod_1257_1,-50266.25453270309,Collapsing Bounds
2726,angle_mod_2397_1,-50265.988965408564,Collapsing Bounds
892,angle_mod_2081_1,-50265.5301811266,Collapsing Bounds
1467,angle_mod_1359_1,-50265.407421529264,Collapsing Bounds
553,angle_mod_1901_1,-50264.5129067536,Collapsing Bounds
401,angle_mod_1370_1,-50264.40437106439,Collapsing Bounds
648,angle_mod_1080_1,-50263.60008613891,Collapsing Bounds
609,angle_mod_1242_1,-50263.56821364299,Collapsing Bounds
1505,angle_mod_1748_1,-50263.417319406406,Collapsing Bounds
2355,angle_mod_730_1,-50263.34279025397,Collapsing Bounds
427,angle_mod_764_1,-50263.18680949543,Collapsing Bounds
2501,angle_mod_1260_1,-50262.851142333704,Collapsing Bounds
2656,angle_mod_1112_1,-50262.430204011944,Collapsing Bounds
2377,angle_mod_726_1,-50262.1786395038,Collapsing Bounds
1459,angle_mod_1861_1,-50262.10521228107,Collapsing Bounds
2177,angle_mod_2343_1,-50261.84219670866,Collapsing Bounds
871,angle_mod_2214_1,-50261.54390428944,Collapsing Bounds
1034,angle_mod_1550_1,-50261.505768850526,Collapsing Bounds
109,angle_mod_712_1,-50261.38271881388,Collapsing Bounds
438,angle_mod_1649_1,-50261.36805212554,Collapsing Bounds
1422,angle_mod_937_1,-50260.74270034343,Collapsing Bounds
2324,angle_mod_858_1,-50260.5905894286,Collapsing Bounds
208,angle_mod_909_1,-50260.47589479214,Collapsing Bounds
357,angle_mod_2233_1,-50259.42722273087,Collapsing Bounds
1256,angle_mod_2262_1,-50259.05134200824,Collapsing Bounds
2227,angle_mod_1191_1,-50258.493387857314,Collapsing Bounds
1066,angle_mod_1012_1,-50257.25553603226,Collapsing Bounds
1512,angle_mod_1877_1,-50257.15314292722,Collapsing Bounds
398,angle_mod_965_1,-50256.959895136475,Collapsing Bounds
2198,angle_mod_1216_1,-50256.90693554061,Collapsing Bounds
17,angle_mod_1193_1,-50256.836667811025,Collapsing Bounds
857,angle_mod_796_1,-50256.50167221485,Collapsing Bounds
1709,angle_mod_1251_1,-50256.380154643455,Collapsing Bounds
2641,angle_mod_1391_1,-50256.2679686253,Collapsing Bounds
409,angle_mod_820_1,-50256.13453488461,Collapsing Bounds
2001,angle_mod_1909_1,-50255.882461482266,Collapsing Bounds
1206,angle_mod_2307_1,-50255.550470665185,Collapsing Bounds
2464,angle_mod_1923_1,-50255.2359710688,Collapsing Bounds
1725,angle_mod_845_1,-50255.22071830525,Collapsing Bounds
2678,angle_mod_1903_1,-50255.16120924365,Collapsing Bounds
1597,angle_mod_1400_1,-50255.13152122476,Collapsing Bounds
509,angle_mod_2116_1,-50254.69742852829,Collapsing Bounds
1065,angle_mod_754_1,-50254.15188884137,Collapsing Bounds
7,angle_mod_2183_1,-50253.89416536516,Collapsing Bounds
929,angle_mod_1681_1,-50253.84584011426,Collapsing Bounds
1052,angle_mod_1679_1,-50253.541065097816,Collapsing Bounds
757,angle_mod_2035_1,-50253.17120199533,Collapsing Bounds
883,angle_mod_807_1,-50253.13784666117,Collapsing Bounds
1273,angle_mod_1458_1,-50253.109031942804,Collapsing Bounds
1880,angle_mod_1155_1,-50252.716889490344,Collapsing Bounds
997,angle_mod_1910_1,-50252.09576579837,Collapsing Bounds
1342,angle_mod_723_1,-50251.718111439586,Collapsing Bounds
2612,angle_mod_1581_1,-50251.6852482671,Collapsing Bounds
866,angle_mod_2097_1,-50251.5649266844,Collapsing Bounds
718,angle_mod_1571_1,-50251.009107736485,Collapsing Bounds
880,angle_mod_1984_1,-50250.89093881694,Collapsing Bounds
2252,angle_mod_1365_1,-50250.44625948062,Collapsing Bounds
2166,angle_mod_2178_1,-50250.43052527136,Collapsing Bounds
519,angle_mod_1852_1,-50250.42997184782,Collapsing Bounds
1657,angle_mod_940_1,-50250.18944340243,Collapsing Bounds
1108,angle_mod_1116_1,-50249.90227974807,Collapsing Bounds
1535,angle_mod_1800_1,-50249.67234306418,Collapsing Bounds
394,angle_mod_748_1,-50249.546310137,Collapsing Bounds
2232,angle_mod_2247_1,-50248.24809833688,Collapsing Bounds
1137,angle_mod_781_1,-50248.23048842803,Collapsing Bounds
2503,angle_mod_1630_1,-50248.20453853562,Collapsing Bounds
2250,angle_mod_970_1,-50248.13830934606,Collapsing Bounds
51,angle_mod_801_1,-50248.09856185932,Collapsing Bounds
963,angle_mod_1843_1,-50247.985827300436,Collapsing Bounds
2348,angle_mod_1563_1,-50246.835256331724,Collapsing Bounds
204,angle_mod_1170_1,-50246.5897139253,Collapsing Bounds
2531,angle_mod_2231_1,-50246.54082112021,Collapsing Bounds
2437,angle_mod_1132_1,-50246.37772278483,Collapsing Bounds
71,angle_mod_1243_1,-50246.03751366447,Collapsing Bounds
1647,angle_mod_1093_1,-50245.66392452562,Collapsing Bounds
2061,angle_mod_1943_1,-50245.59803582595,Collapsing Bounds
2345,angle_mod_2066_1,-50245.299928606975,Collapsing Bounds
1271,angle_mod_2274_1,-50245.12175708667,Collapsing Bounds
899,angle_mod_1838_1,-50243.90610467677,Collapsing Bounds
801,angle_mod_2326_1,-50243.651560346,Collapsing Bounds
1676,angle_mod_2216_1,-50243.65105538849,Collapsing Bounds
354,angle_mod_1809_1,-50243.55493162548,Collapsing Bounds
1199,angle_mod_778_1,-50243.28355036161,Collapsing Bounds
141,angle_mod_1296_1,-50243.199495322355,Collapsing Bounds
1400,angle_mod_921_1,-50243.04302645452,Collapsing Bounds
1419,angle_mod_1288_1,-50242.979881925625,Collapsing Bounds
2463,angle_mod_766_1,-50242.91989420345,Collapsing Bounds
1385,angle_mod_2236_1,-50242.87540942031,Collapsing Bounds
2419,angle_mod_1124_1,-50242.799251045246,Collapsing Bounds
1470,angle_mod_809_1,-50242.678046567664,Collapsing Bounds
2469,angle_mod_2175_1,-50242.45163102667,Collapsing Bounds
136,angle_mod_1003_1,-50242.404446403736,Collapsing Bounds
1453,angle_mod_6_1,-50242.070380412864,Collapsing Bounds
1290,angle_mod_719_1,-50241.4803298923,Collapsing Bounds
1274,angle_mod_1008_1,-50241.39588118709,Collapsing Bounds
716,angle_mod_1121_1,-50240.16285982224,Collapsing Bounds
2012,angle_mod_1323_1,-50240.08244396548,Collapsing Bounds
1150,angle_mod_1301_1,-50239.33084489262,Collapsing Bounds
1490,angle_mod_2076_1,-50239.3208966949,Collapsing Bounds
510,angle_mod_1690_1,-50238.842873496746,Collapsing Bounds
1104,angle_mod_1268_1,-50238.75881094307,Collapsing Bounds
808,angle_mod_1336_1,-50238.446826906664,Collapsing Bounds
732,angle_mod_1137_1,-50238.3236365062,Collapsing Bounds
1521,angle_mod_1031_1,-50238.10308223017,Collapsing Bounds
419,angle_mod_2032_1,-50237.619139460905,Collapsing Bounds
2683,angle_mod_2339_1,-50237.47236131332,Collapsing Bounds
96,angle_mod_2044_1,-50237.26160201189,Collapsing Bounds
1541,angle_mod_2056_1,-50237.12295136981,Collapsing Bounds
91,angle_mod_1687_1,-50236.70274472957,Collapsing Bounds
590,angle_mod_1239_1,-50236.35039970621,Collapsing Bounds
2013,angle_mod_1289_1,-50235.77960349421,Collapsing Bounds
1133,angle_mod_1182_1,-50235.29223437978,Collapsing Bounds
1808,angle_mod_982_1,-50234.99196531978,Collapsing Bounds
2153,angle_mod_1538_1,-50234.79359101726,Collapsing Bounds
1248,angle_mod_1788_1,-50234.59789211749,Collapsing Bounds
488,angle_mod_1872_1,-50234.58128273111,Collapsing Bounds
2189,angle_mod_1703_1,-50234.50396291655,Collapsing Bounds
2256,angle_mod_2230_1,-50234.464577735205,Collapsing Bounds
1896,angle_mod_1102_1,-50234.448680147296,Collapsing Bounds
2482,angle_mod_822_1,-50234.25313627469,Collapsing Bounds
1050,angle_mod_2055_1,-50234.218516146815,Collapsing Bounds
1798,angle_mod_1180_1,-50233.88691092315,Collapsing Bounds
2213,angle_mod_1345_1,-50233.77310327416,Collapsing Bounds
2424,angle_mod_1061_1,-50233.563666288224,Collapsing Bounds
1737,angle_mod_1196_1,-50233.39409301696,Collapsing Bounds
1276,angle_mod_1726_1,-50233.30426939652,Collapsing Bounds
1802,angle_mod_2256_1,-50233.195515105945,Collapsing Bounds
1258,angle_mod_1321_1,-50232.98409141927,Collapsing Bounds
2035,angle_mod_1335_1,-50232.909425264654,Collapsing Bounds
484,angle_mod_2248_1,-50232.700800566345,Collapsing Bounds
1910,angle_mod_1175_1,-50232.68376712174,Collapsing Bounds
252,angle_mod_1189_1,-50232.65029545943,Collapsing Bounds
789,angle_mod_1320_1,-50232.24631534614,Collapsing Bounds
448,angle_mod_1976_1,-50232.08777995192,Collapsing Bounds
1064,angle_mod_1442_1,-50231.42864118649,Collapsing Bounds
1483,angle_mod_1420_1,-50231.14601701808,Collapsing Bounds
2225,angle_mod_792_1,-50231.10050266136,Collapsing Bounds
1692,angle_mod_1178_1,-50231.03756707705,Collapsing Bounds
2685,angle_mod_1145_1,-50230.51691716361,Collapsing Bounds
1122,angle_mod_1680_1,-50229.740592957154,Collapsing Bounds
2062,angle_mod_1806_1,-50229.640131023945,Collapsing Bounds
795,angle_mod_1635_1,-50229.447641345934,Collapsing Bounds
603,angle_mod_787_1,-50229.15482474661,Collapsing Bounds
2620,angle_mod_1755_1,-50228.014782008664,Collapsing Bounds
1884,angle_mod_2112_1,-50227.535035725814,Collapsing Bounds
545,angle_mod_1147_1,-50227.29707466186,Collapsing Bounds
856,angle_mod_2306_1,-50227.09456711012,Collapsing Bounds
2585,angle_mod_1082_1,-50227.03594330722,Collapsing Bounds
2046,angle_mod_998_1,-50227.00098512809,Collapsing Bounds
1865,angle_mod_2145_1,-50226.747396303406,Collapsing Bounds
1172,angle_mod_1356_1,-50226.659311603704,Collapsing Bounds
1648,angle_mod_1569_1,-50226.442504646395,Collapsing Bounds
1933,angle_mod_1964_1,-50226.268432514815,Collapsing Bounds
989,angle_mod_1506_1,-50225.89871570043,Collapsing Bounds
1448,angle_mod_2365_1,-50225.173505127466,Collapsing Bounds
364,angle_mod_1331_1,-50224.54301264955,Collapsing Bounds
1642,angle_mod_1247_1,-50223.769775460794,Collapsing Bounds
812,angle_mod_866_1,-50223.60927088556,Collapsing Bounds
435,angle_mod_1864_1,-50223.56776190179,Collapsing Bounds
1706,angle_mod_1314_1,-50223.48303460035,Collapsing Bounds
1226,angle_mod_1675_1,-50223.47012404534,Collapsing Bounds
146,angle_mod_2005_1,-50222.8914154521,Collapsing Bounds
2453,angle_mod_2319_1,-50221.96343696593,Collapsing Bounds
1,angle_mod_1605_1,-50221.83548075153,Collapsing Bounds
1039,angle_mod_703_1,-50221.164539812526,Collapsing Bounds
1220,angle_mod_975_1,-50220.9132867976,Collapsing Bounds
2521,angle_mod_863_1,-50220.67616794316,Collapsing Bounds
1539,angle_mod_1380_1,-50220.639648475095,Collapsing Bounds
863,angle_mod_811_1,-50220.40364381005,Collapsing Bounds
628,angle_mod_1645_1,-50219.582310526246,Collapsing Bounds
37,angle_mod_1594_1,-50219.55222732247,Collapsing Bounds
68,angle_mod_2195_1,-50219.435626470535,Collapsing Bounds
1345,angle_mod_2219_1,-50219.37093345998,Collapsing Bounds
1791,angle_mod_1616_1,-50219.23852967426,Collapsing Bounds
2720,angle_mod_1368_1,-50219.22249538713,Collapsing Bounds
1049,angle_mod_996_1,-50219.18046320959,Collapsing Bounds
1508,angle_mod_848_1,-50219.139824843725,Collapsing Bounds
2474,angle_mod_1958_1,-50219.00940403806,Collapsing Bounds
1671,angle_mod_1085_1,-50218.908701101,Collapsing Bounds
816,angle_mod_1789_1,-50218.78133622549,Collapsing Bounds
521,angle_mod_1501_1,-50218.721592591784,Collapsing Bounds
2023,angle_mod_2325_1,-50218.711360776324,Collapsing Bounds
2489,angle_mod_1722_1,-50218.68057863807,Collapsing Bounds
406,angle_mod_1235_1,-50218.28947428522,Collapsing Bounds
2545,angle_mod_2118_1,-50218.25924581747,Collapsing Bounds
1361,angle_mod_1198_1,-50217.9349100539,Collapsing Bounds
117,angle_mod_895_1,-50217.20770085778,Collapsing Bounds
982,angle_mod_1290_1,-50217.084279952986,Collapsing Bounds
1577,angle_mod_741_1,-50216.695924002226,Collapsing Bounds
1194,angle_mod_955_1,-50216.53945335503,Collapsing Bounds
2040,angle_mod_2372_1,-50216.44359560123,Collapsing Bounds
2633,angle_mod_2315_1,-50216.271660007515,Collapsing Bounds
2530,angle_mod_926_1,-50215.797855373065,Collapsing Bounds
1680,angle_mod_1713_1,-50215.36459748479,Collapsing Bounds
95,angle_mod_987_1,-50214.83672870454,Collapsing Bounds
2072,angle_mod_993_1,-50214.37106399408,Collapsing Bounds
2574,angle_mod_2138_1,-50213.29177582091,Collapsing Bounds
1820,angle_mod_2387_1,-50212.85814730524,Collapsing Bounds
1944,angle_mod_1837_1,-50212.71974107999,Collapsing Bounds
2385,angle_mod_1172_1,-50212.62233514853,Collapsing Bounds
273,angle_mod_1408_1,-50211.89227282377,Collapsing Bounds
1660,angle_mod_1705_1,-50211.84192441793,Collapsing Bounds
635,angle_mod_945_1,-50211.10087214075,Collapsing Bounds
1054,angle_mod_1507_1,-50210.52728701353,Collapsing Bounds
128,angle_mod_1516_1,-50209.84176946756,Collapsing Bounds
686,angle_mod_1199_1,-50209.793518338054,Collapsing Bounds
2191,angle_mod_2085_1,-50209.401801717635,Collapsing Bounds
54,angle_mod_1701_1,-50209.37734187798,Collapsing Bounds
2444,angle_mod_731_1,-50209.34483313913,Collapsing Bounds
1596,angle_mod_716_1,-50209.27309855755,Collapsing Bounds
2651,angle_mod_711_1,-50208.437812232725,Collapsing Bounds
2460,angle_mod_1020_1,-50208.366792108725,Collapsing Bounds
1957,angle_mod_1708_1,-50208.33405500894,Collapsing Bounds
1666,angle_mod_805_1,-50208.19165912228,Collapsing Bounds
690,angle_mod_1033_1,-50208.13758143111,Collapsing Bounds
2221,angle_mod_815_1,-50208.10481200443,Collapsing Bounds
80,angle_mod_1185_1,-50208.0527986524,Collapsing Bounds
1188,angle_mod_1655_1,-50207.803112199486,Collapsing Bounds
494,angle_mod_1106_1,-50207.77218891518,Collapsing Bounds
2725,angle_mod_1411_1,-50207.476087820534,Collapsing Bounds
370,angle_mod_2008_1,-50207.22817822848,Collapsing Bounds
1936,angle_mod_721_1,-50206.986189948504,Collapsing Bounds
250,angle_mod_1023_1,-50206.86438505627,Collapsing Bounds
2670,angle_mod_1329_1,-50206.84579374522,Collapsing Bounds
392,angle_mod_2337_1,-50206.820158784954,Collapsing Bounds
1219,angle_mod_902_1,-50205.157491386984,Collapsing Bounds
1628,angle_mod_1181_1,-50204.94587564461,Collapsing Bounds
999,angle_mod_1443_1,-50204.91085915024,Collapsing Bounds
746,angle_mod_1926_1,-50204.641122420806,Collapsing Bounds
911,angle_mod_915_1,-50204.61300228163,Collapsing Bounds
2146,angle_mod_1390_1,-50203.8795303394,Collapsing Bounds
236,angle_mod_1998_1,-50202.858073545394,Collapsing Bounds
2694,angle_mod_880_1,-50202.82059932114,Collapsing Bounds
638,angle_mod_1350_1,-50202.39867163349,Collapsing Bounds
1493,angle_mod_1089_1,-50202.36215943712,Collapsing Bounds
1700,angle_mod_1197_1,-50202.266011378,Collapsing Bounds
1298,angle_mod_2171_1,-50201.928219575784,Collapsing Bounds
2676,angle_mod_1450_1,-50201.87725999874,Collapsing Bounds
1665,angle_mod_1210_1,-50201.39527501595,Collapsing Bounds
2619,angle_mod_1305_1,-50200.93094851802,Collapsing Bounds
371,angle_mod_861_1,-50199.98159563166,Collapsing Bounds
775,angle_mod_827_1,-50199.97708096777,Collapsing Bounds
2112,angle_mod_1847_1,-50199.96837460984,Collapsing Bounds
1412,angle_mod_872_1,-50199.91983043055,Collapsing Bounds
1911,angle_mod_799_1,-50199.918148304074,Collapsing Bounds
2713,angle_mod_992_1,-50199.81327720501,Collapsing Bounds
1006,angle_mod_997_1,-50199.71274926906,Collapsing Bounds
879,angle_mod_2351_1,-50199.32940393258,Collapsing Bounds
827,angle_mod_1361_1,-50199.27034866114,Collapsing Bounds
966,angle_mod_1140_1,-50199.14758457933,Collapsing Bounds
1923,angle_mod_849_1,-50198.97868643487,Collapsing Bounds
45,angle_mod_1644_1,-50198.14885639226,Collapsing Bounds
1763,angle_mod_1704_1,-50197.824700594785,Collapsing Bounds
2259,angle_mod_1559_1,-50197.21789545451,Collapsing Bounds
327,angle_mod_2232_1,-50196.56940013959,Collapsing Bounds
2567,angle_mod_1190_1,-50196.48833539395,Collapsing Bounds
2260,angle_mod_1109_1,-50196.15490185156,Collapsing Bounds
549,angle_mod_1844_1,-50196.12780981027,Collapsing Bounds
1228,angle_mod_830_1,-50195.78835024626,Collapsing Bounds
2006,angle_mod_873_1,-50195.645413609935,Collapsing Bounds
611,angle_mod_1612_1,-50195.581958032075,Collapsing Bounds
308,angle_mod_2265_1,-50194.9726353934,Collapsing Bounds
591,angle_mod_1393_1,-50194.90965737901,Collapsing Bounds
1395,angle_mod_1271_1,-50192.90585437556,Collapsing Bounds
272,angle_mod_1058_1,-50192.82010201765,Collapsing Bounds
355,angle_mod_709_1,-50192.683641428426,Collapsing Bounds
351,angle_mod_1673_1,-50192.40691612496,Collapsing Bounds
314,angle_mod_1330_1,-50191.45101964742,Collapsing Bounds
2537,angle_mod_2374_1,-50191.32537228794,Collapsing Bounds
2639,angle_mod_1186_1,-50190.89697331938,Collapsing Bounds
33,angle_mod_2091_1,-50190.22533987012,Collapsing Bounds
2284,angle_mod_874_1,-50189.43388977126,Collapsing Bounds
274,angle_mod_964_1,-50189.087620201084,Collapsing Bounds
2295,angle_mod_1518_1,-50188.41485121325,Collapsing Bounds
726,angle_mod_734_1,-50188.288009432865,Collapsing Bounds
2614,angle_mod_47_1,-50187.90160441326,Collapsing Bounds
1293,angle_mod_2389_1,-50187.76416481425,Collapsing Bounds
1563,angle_mod_2001_1,-50187.76282591871,Collapsing Bounds
426,angle_mod_1188_1,-50187.6429090564,Collapsing Bounds
1546,angle_mod_1441_1,-50186.54339150451,Collapsing Bounds
1246,angle_mod_1622_1,-50185.887975940386,Collapsing Bounds
1731,angle_mod_2305_1,-50185.51301839899,Collapsing Bounds
2395,angle_mod_1037_1,-50185.44470206079,Collapsing Bounds
2467,angle_mod_1759_1,-50185.258689796116,Collapsing Bounds
1735,angle_mod_1895_1,-50185.09416669141,Collapsing Bounds
833,angle_mod_1674_1,-50184.60790473853,Collapsing Bounds
1698,angle_mod_1894_1,-50184.32013423433,Collapsing Bounds
1825,angle_mod_1817_1,-50184.16719688338,Collapsing Bounds
2249,angle_mod_835_1,-50184.0369423681,Collapsing Bounds
1653,angle_mod_2200_1,-50183.96339024171,Collapsing Bounds
2239,angle_mod_2181_1,-50183.75757355122,Collapsing Bounds
1779,angle_mod_2201_1,-50183.66841575569,Collapsing Bounds
1668,angle_mod_2353_1,-50183.243626177835,Collapsing Bounds
2216,angle_mod_1200_1,-50182.686222061784,Collapsing Bounds
1218,angle_mod_1317_1,-50182.55826500806,Collapsing Bounds
477,angle_mod_908_1,-50182.24263984916,Collapsing Bounds
476,angle_mod_1608_1,-50182.18771500945,Collapsing Bounds
577,angle_mod_1405_1,-50181.49938375791,Collapsing Bounds
2572,angle_mod_951_1,-50180.93927583485,Collapsing Bounds
1797,angle_mod_783_1,-50180.80575434481,Collapsing Bounds
942,angle_mod_1814_1,-50180.28659470519,Collapsing Bounds
1977,angle_mod_2173_1,-50179.61703606312,Collapsing Bounds
70,angle_mod_856_1,-50179.50519386421,Collapsing Bounds
2595,angle_mod_1702_1,-50178.73725682253,Collapsing Bounds
2587,angle_mod_1128_1,-50178.54380730927,Collapsing Bounds
2090,angle_mod_1152_1,-50177.47385936705,Collapsing Bounds
2021,angle_mod_1509_1,-50177.430868552874,Collapsing Bounds
2600,angle_mod_802_1,-50177.16964405649,Collapsing Bounds
1846,angle_mod_1143_1,-50176.3510862627,Collapsing Bounds
84,angle_mod_1886_1,-50175.97169475538,Collapsing Bounds
838,angle_mod_846_1,-50175.54340211414,Collapsing Bounds
1985,angle_mod_2364_1,-50173.539654178414,Collapsing Bounds
1144,angle_mod_1614_1,-50173.4599337171,Collapsing Bounds
2425,angle_mod_727_1,-50173.31919361526,Collapsing Bounds
675,angle_mod_142_1,-50173.14380890229,Collapsing Bounds
2074,angle_mod_839_1,-50173.12260507986,Collapsing Bounds
1983,angle_mod_1548_1,-50173.0552411088,Collapsing Bounds
1966,angle_mod_1533_1,-50172.30847527454,Collapsing Bounds
940,angle_mod_81_1,-50171.051785378266,Collapsing Bounds
180,angle_mod_1804_1,-50170.320255139,Collapsing Bounds
441,angle_mod_733_1,-50170.302333866915,Collapsing Bounds
533,angle_mod_1297_1,-50169.81175546141,Collapsing Bounds
1438,angle_mod_433_1,-50169.331464313305,Collapsing Bounds
1233,angle_mod_2235_1,-50168.48179648473,Collapsing Bounds
2376,angle_mod_1430_1,-50168.197941020764,Collapsing Bounds
1195,angle_mod_1340_1,-50168.163857814885,Collapsing Bounds
1566,angle_mod_1338_1,-50167.49017518449,Collapsing Bounds
507,angle_mod_1413_1,-50165.844976148524,Collapsing Bounds
1196,angle_mod_1710_1,-50165.661470523315,Collapsing Bounds
831,angle_mod_1224_1,-50164.837214745356,Collapsing Bounds
543,angle_mod_1628_1,-50164.73747197502,Collapsing Bounds
1415,angle_mod_1267_1,-50163.85059184868,Collapsing Bounds
595,angle_mod_1184_1,-50163.81819974987,Collapsing Bounds
1080,angle_mod_1842_1,-50163.43027457508,Collapsing Bounds
1796,angle_mod_1495_1,-50163.12463695383,Collapsing Bounds
1212,angle_mod_1602_1,-50162.96350047072,Collapsing Bounds
1973,angle_mod_1026_1,-50162.369275297126,Collapsing Bounds
382,angle_mod_932_1,-50162.35741789895,Collapsing Bounds
341,angle_mod_1672_1,-50161.05978985563,Collapsing Bounds
178,angle_mod_1557_1,-50160.784585056805,Collapsing Bounds
2378,angle_mod_1963_1,-50160.19078974559,Collapsing Bounds
1855,angle_mod_869_1,-50159.88021564968,Collapsing Bounds
1152,angle_mod_1751_1,-50158.91986971875,Collapsing Bounds
1887,angle_mod_1694_1,-50158.78050245767,Collapsing Bounds
1881,angle_mod_1381_1,-50158.406954388,Collapsing Bounds
1742,angle_mod_957_1,-50158.19333204415,Collapsing Bounds
144,angle_mod_883_1,-50158.07623200788,Collapsing Bounds
2336,angle_mod_1021_1,-50157.25945077317,Collapsing Bounds
516,angle_mod_990_1,-50157.199788452854,Collapsing Bounds
755,angle_mod_1530_1,-50156.61611220946,Collapsing Bounds
2394,angle_mod_771_1,-50156.1427238647,Collapsing Bounds
811,angle_mod_923_1,-50155.761464711046,Collapsing Bounds
1614,angle_mod_983_1,-50155.639074351995,Collapsing Bounds
189,angle_mod_1412_1,-50155.29907945033,Collapsing Bounds
744,angle_mod_763_1,-50155.15711568604,Collapsing Bounds
2175,angle_mod_854_1,-50154.63740964551,Collapsing Bounds
360,angle_mod_2399_1,-50154.41512177589,Collapsing Bounds
1431,angle_mod_1660_1,-50154.282133759465,Collapsing Bounds
1183,angle_mod_2350_1,-50153.74410038505,Collapsing Bounds
2640,angle_mod_290_1,-50153.073040157986,Collapsing Bounds
1913,angle_mod_1460_1,-50152.65224527265,Collapsing Bounds
1455,angle_mod_1162_1,-50151.062758817854,Collapsing Bounds
1872,angle_mod_2329_1,-50150.24654929358,Collapsing Bounds
1045,angle_mod_1696_1,-50149.81464997329,Collapsing Bounds
2306,angle_mod_1236_1,-50149.62025371316,Collapsing Bounds
1335,angle_mod_1209_1,-50149.54502920948,Collapsing Bounds
1946,angle_mod_1564_1,-50149.32119562109,Collapsing Bounds
761,angle_mod_919_1,-50149.171795643095,Collapsing Bounds
2010,angle_mod_1636_1,-50148.80732437283,Collapsing Bounds
667,angle_mod_1468_1,-50147.96776500503,Collapsing Bounds
2575,angle_mod_1344_1,-50147.20366769037,Collapsing Bounds
709,angle_mod_1967_1,-50147.166118012705,Collapsing Bounds
676,angle_mod_2028_1,-50146.96812278641,Collapsing Bounds
2691,angle_mod_2006_1,-50146.642573331665,Collapsing Bounds
1682,angle_mod_2095_1,-50144.97552636904,Collapsing Bounds
556,angle_mod_744_1,-50144.408712840086,Collapsing Bounds
2296,angle_mod_1148_1,-50144.178218451794,Collapsing Bounds
2571,angle_mod_2246_1,-50144.09095942861,Collapsing Bounds
1685,angle_mod_813_1,-50143.993034359926,Collapsing Bounds
583,angle_mod_2383_1,-50143.20323688019,Collapsing Bounds
573,angle_mod_1540_1,-50143.118995516066,Collapsing Bounds
1179,angle_mod_685_1,-50141.83775901999,Collapsing Bounds
1076,angle_mod_538_1,-50141.55891064871,Collapsing Bounds
1613,angle_mod_2040_1,-50141.185136399734,Collapsing Bounds
849,angle_mod_779_1,-50140.51030047492,Collapsing Bounds
1591,angle_mod_891_1,-50140.46137938689,Collapsing Bounds
1300,angle_mod_332_1,-50140.271621985834,Collapsing Bounds
2485,angle_mod_571_1,-50139.84358082557,Collapsing Bounds
2445,angle_mod_1077_1,-50139.38415362027,Collapsing Bounds
245,angle_mod_1648_1,-50138.95791831775,Collapsing Bounds
1003,angle_mod_1697_1,-50138.579842010586,Collapsing Bounds
2152,angle_mod_439_1,-50138.33493343386,Collapsing Bounds
2286,angle_mod_931_1,-50137.82215573436,Collapsing Bounds
111,angle_mod_342_1,-50137.54228346836,Collapsing Bounds
1389,angle_mod_2373_1,-50136.55759417456,Collapsing Bounds
666,angle_mod_284_1,-50136.460464674616,Collapsing Bounds
741,angle_mod_1025_1,-50136.403868470356,Collapsing Bounds
1124,angle_mod_579_1,-50136.25843339657,Collapsing Bounds
680,angle_mod_904_1,-50135.04834748419,Collapsing Bounds
393,angle_mod_1848_1,-50135.0048794764,Collapsing Bounds
2525,angle_mod_1276_1,-50133.5988763722,Collapsing Bounds
868,angle_mod_1341_1,-50133.231012416,Collapsing Bounds
316,angle_mod_1625_1,-50133.05863762181,Collapsing Bounds
