,model,dic,model_type
2019,angle_mod_2260_1,-50354.608323264685,Collapsing Bounds
2663,angle_mod_879_1,-50354.39046723974,Collapsing Bounds
1993,angle_mod_2108_1,-50354.38294611768,Collapsing Bounds
1679,angle_mod_1343_1,-50354.22331469837,Collapsing Bounds
2008,angle_mod_1266_1,-50353.995205785606,Collapsing Bounds
1510,angle_mod_2308_1,-50353.58706140623,Collapsing Bounds
295,angle_mod_933_1,-50352.8528851674,Collapsing Bounds
1590,angle_mod_2152_1,-50351.783663949296,Collapsing Bounds
49,angle_mod_2068_1,-50351.4707795773,Collapsing Bounds
1425,angle_mod_2332_1,-50351.44508097257,Collapsing Bounds
1982,angle_mod_2221_1,-50351.37925571024,Collapsing Bounds
784,angle_mod_2275_1,-50351.12280555822,Collapsing Bounds
1469,angle_mod_2125_1,-50350.941960190125,Collapsing Bounds
1786,angle_mod_853_1,-50350.714736155816,Collapsing Bounds
1359,angle_mod_1931_1,-50350.69051281331,Collapsing Bounds
786,angle_mod_1459_1,-50350.4188490519,Collapsing Bounds
1920,angle_mod_1749_1,-50349.97213442276,Collapsing Bounds
2487,angle_mod_1237_1,-50349.397368848935,Collapsing Bounds
1811,angle_mod_1682_1,-50348.593505468045,Collapsing Bounds
110,angle_mod_1054_1,-50348.59172784271,Collapsing Bounds
19,angle_mod_790_1,-50348.05781432396,Collapsing Bounds
1088,angle_mod_742_1,-50347.59198795083,Collapsing Bounds
1341,angle_mod_1435_1,-50347.28835389225,Collapsing Bounds
1640,angle_mod_2191_1,-50347.1560469321,Collapsing Bounds
2362,angle_mod_2070_1,-50347.07987167204,Collapsing Bounds
589,angle_mod_2045_1,-50346.984181543376,Collapsing Bounds
1528,angle_mod_1046_1,-50346.84983525149,Collapsing Bounds
687,angle_mod_775_1,-50346.3828284186,Collapsing Bounds
2515,angle_mod_2266_1,-50346.256002380025,Collapsing Bounds
555,angle_mod_1002_1,-50346.170244061206,Collapsing Bounds
672,angle_mod_1604_1,-50345.82702816167,Collapsing Bounds
550,angle_mod_2291_1,-50345.773558616085,Collapsing Bounds
2117,angle_mod_1144_1,-50345.746972735455,Collapsing Bounds
1038,angle_mod_1415_1,-50345.09133563525,Collapsing Bounds
1840,angle_mod_1905_1,-50345.04201532943,Collapsing Bounds
2361,angle_mod_2135_1,-50344.21156687327,Collapsing Bounds
1048,angle_mod_979_1,-50343.60777527844,Collapsing Bounds
2158,angle_mod_2251_1,-50343.44577171956,Collapsing Bounds
159,angle_mod_753_1,-50343.29815571909,Collapsing Bounds
2139,angle_mod_1543_1,-50342.749160974294,Collapsing Bounds
652,angle_mod_1203_1,-50341.4680348283,Collapsing Bounds
498,angle_mod_1805_1,-50340.603609048885,Collapsing Bounds
1337,angle_mod_959_1,-50340.4582156459,Collapsing Bounds
1184,angle_mod_1985_1,-50340.366280750415,Collapsing Bounds
362,angle_mod_1761_1,-50340.182378359474,Collapsing Bounds
1106,angle_mod_1546_1,-50339.99223683679,Collapsing Bounds
2606,angle_mod_2342_1,-50339.88211425202,Collapsing Bounds
1906,angle_mod_1876_1,-50339.14309357151,Collapsing Bounds
2277,angle_mod_2288_1,-50338.98740750103,Collapsing Bounds
148,angle_mod_1783_1,-50338.80442568543,Collapsing Bounds
1315,angle_mod_1531_1,-50338.74551145776,Collapsing Bounds
1578,angle_mod_1457_1,-50338.689976442845,Collapsing Bounds
921,angle_mod_1479_1,-50338.57934409434,Collapsing Bounds
1850,angle_mod_2295_1,-50338.2710918914,Collapsing Bounds
1399,angle_mod_2148_1,-50338.101448953385,Collapsing Bounds
2555,angle_mod_843_1,-50337.82931607375,Collapsing Bounds
119,angle_mod_1280_1,-50337.72521710298,Collapsing Bounds
1146,angle_mod_851_1,-50337.292449052424,Collapsing Bounds
1488,angle_mod_2099_1,-50336.052777225435,Collapsing Bounds
42,angle_mod_1828_1,-50335.924273478755,Collapsing Bounds
88,angle_mod_1869_1,-50335.27873348891,Collapsing Bounds
2677,angle_mod_746_1,-50334.988202321336,Collapsing Bounds
1956,angle_mod_1358_1,-50334.801272642224,Collapsing Bounds
2662,angle_mod_2010_1,-50334.39310061829,Collapsing Bounds
2551,angle_mod_1743_1,-50334.27527557328,Collapsing Bounds
2673,angle_mod_2155_1,-50333.85913960307,Collapsing Bounds
758,angle_mod_1619_1,-50333.840441439344,Collapsing Bounds
