,subj_idx,response,rt,showprog_c,progress_c,progress_c2
38,101,1,0.7009,-0.5,0.016666667,0.266944444
39,101,1,0.6371,-0.5,0.033333333,0.284444444
40,101,1,0.66,-0.5,0.05,0.3025
41,101,1,0.605,-0.5,0.066666667,0.321111111
42,101,1,0.5652,-0.5,0.083333333,0.340277778
43,101,1,0.6614,-0.5,0.1,0.36
44,101,1,0.5651,-0.5,0.116666667,0.380277778
45,101,1,0.5732,-0.5,0.133333333,0.401111111
46,101,1,0.5005,-0.5,0.15,0.4225
47,101,1,0.4931,-0.5,0.166666667,0.444444444
48,101,1,0.7081,-0.5,0.183333333,0.466944444
49,101,1,0.6131,-0.5,0.2,0.49
50,101,1,0.5171,-0.5,0.216666667,0.513611111
51,101,1,0.6293,-0.5,0.233333333,0.537777778
52,101,1,0.5254,-0.5,0.25,0.5625
53,101,1,0.6209,-0.5,0.266666667,0.587777778
54,101,0,0.5173,-0.5,0.283333333,0.613611111
55,101,1,0.4129,-0.5,0.283333333,0.613611111
56,101,1,0.6373,-0.5,0.3,0.64
57,101,1,0.717,-0.5,0.316666667,0.666944444
58,101,1,0.0044,-0.5,0.333333333,0.694444444
59,101,1,0.0097,-0.5,0.35,0.7225
60,101,1,0.6061,-0.5,0.366666667,0.751111111
61,101,1,0.5413,-0.5,0.383333333,0.780277778
62,101,1,0.5731,-0.5,0.4,0.81
63,101,1,0.5971,-0.5,0.416666667,0.840277778
64,101,1,0.525,-0.5,0.433333333,0.871111111
65,101,1,0.6052,-0.5,0.45,0.9025
66,101,1,0.717,-0.5,0.466666667,0.934444444
67,101,1,0.5401,-0.5,0.483333333,0.966944444
68,101,0,0.2214,0.5,-0.5,0
69,101,1,0.5245,0.5,-0.5,0
70,101,1,0.5726,0.5,-0.483333333,0.000277778
71,101,1,0.5322,0.5,-0.466666667,0.001111111
72,101,0,0.7007,0.5,-0.45,0.0025
73,101,1,0.5819,0.5,-0.45,0.0025
74,101,1,0.6602,0.5,-0.433333333,0.004444444
75,101,1,0.5402,0.5,-0.416666667,0.006944444
76,101,1,0.5648,0.5,-0.4,0.01
77,101,1,0.5245,0.5,-0.383333333,0.013611111
78,101,1,0.7001,0.5,-0.366666667,0.017777778
79,101,1,0.6208,0.5,-0.35,0.0225
80,101,1,0.5326,0.5,-0.333333333,0.027777778
81,101,1,0.6052,0.5,-0.316666667,0.033611111
82,101,1,0.5247,0.5,-0.3,0.04
83,101,1,0.4926,0.5,-0.283333333,0.046944444
84,101,1,0.5881,0.5,-0.266666667,0.054444444
85,101,1,0.604,0.5,-0.25,0.0625
86,101,1,0.5007,0.5,-0.233333333,0.071111111
87,101,1,0.4766,0.5,-0.216666667,0.080277778
88,101,1,0.4843,0.5,-0.2,0.09
89,101,1,0.4916,0.5,-0.183333333,0.100277778
90,101,1,0.7006,0.5,-0.166666667,0.111111111
91,101,1,0.5319,0.5,-0.15,0.1225
92,101,1,0.6122,0.5,-0.133333333,0.134444444
93,101,1,0.5088,0.5,-0.116666667,0.146944444
94,101,1,0.4201,0.5,-0.1,0.16
95,101,1,0.4846,0.5,-0.083333333,0.173611111
96,101,1,0.4927,0.5,-0.066666667,0.187777778
97,101,1,0.6036,0.5,-0.05,0.2025
98,101,1,0.5484,0.5,-0.033333333,0.217777778
99,101,1,0.5885,0.5,-0.016666667,0.233611111
100,101,1,0.6283,0.5,0,0.25
101,101,1,0.5646,0.5,0.016666667,0.266944444
102,101,1,0.6443,0.5,0.033333333,0.284444444
103,101,1,0.4843,0.5,0.05,0.3025
104,101,0,0.5169,0.5,0.066666667,0.321111111
105,101,1,0.1908,0.5,0.066666667,0.321111111
106,101,1,0.5644,0.5,0.083333333,0.340277778
107,101,1,0.564,0.5,0.1,0.36
108,101,1,0.477,0.5,0.116666667,0.380277778
109,101,0,0.6769,0.5,0.133333333,0.401111111
110,101,0,0.1084,0.5,0.133333333,0.401111111
111,101,1,0.7077,0.5,0.133333333,0.401111111
112,101,1,0.6687,0.5,0.15,0.4225
113,101,1,0.564,0.5,0.166666667,0.444444444
114,101,1,0.725,0.5,0.183333333,0.466944444
115,101,1,0.4763,0.5,0.2,0.49
116,101,1,0.4927,0.5,0.216666667,0.513611111
117,101,1,0.6366,0.5,0.233333333,0.537777778
118,101,1,0.5652,0.5,0.25,0.5625
119,101,1,0.6123,0.5,0.266666667,0.587777778
120,101,1,0.5725,0.5,0.283333333,0.613611111
121,101,1,0.7483,0.5,0.3,0.64
122,101,1,0.5245,0.5,0.316666667,0.666944444
123,101,1,0.6768,0.5,0.333333333,0.694444444
124,101,1,0.4839,0.5,0.35,0.7225
125,101,1,0.4365,0.5,0.366666667,0.751111111
126,101,1,0.5568,0.5,0.383333333,0.780277778
127,101,1,0.6126,0.5,0.4,0.81
128,101,1,0.6048,0.5,0.416666667,0.840277778
129,101,1,0.6442,0.5,0.433333333,0.871111111
130,101,0,0.461,0.5,0.45,0.9025
131,101,1,0.6203,0.5,0.45,0.9025
132,101,1,0.6044,0.5,0.466666667,0.934444444
133,101,1,0.6941,0.5,0.483333333,0.966944444
134,101,1,0.4488,-0.5,-0.5,0
135,101,1,0.445,-0.5,-0.483333333,0.000277778
136,101,1,0.5252,-0.5,-0.466666667,0.001111111
137,101,1,0.7569,-0.5,-0.45,0.0025
138,101,1,0.6451,-0.5,-0.433333333,0.004444444
139,101,1,0.4529,-0.5,-0.416666667,0.006944444
140,101,1,0.4133,-0.5,-0.4,0.01
141,101,1,0.469,-0.5,-0.383333333,0.013611111
142,101,1,0.5247,-0.5,-0.366666667,0.017777778
143,101,1,0.4855,-0.5,-0.35,0.0225
144,101,1,0.5651,-0.5,-0.333333333,0.027777778
145,101,1,0.533,-0.5,-0.316666667,0.033611111
146,101,1,0.5651,-0.5,-0.3,0.04
147,101,0,0.5157,-0.5,-0.283333333,0.046944444
148,101,1,0.613,-0.5,-0.283333333,0.046944444
149,101,1,0.661,-0.5,-0.266666667,0.054444444
150,101,1,0.5895,-0.5,-0.25,0.0625
151,101,1,0.5087,-0.5,-0.233333333,0.071111111
152,101,1,0.5173,-0.5,-0.216666667,0.080277778
153,101,1,0.5409,-0.5,-0.2,0.09
154,101,1,0.5173,-0.5,-0.183333333,0.100277778
155,101,1,0.5811,-0.5,-0.166666667,0.111111111
156,101,1,0.6197,-0.5,-0.15,0.1225
157,101,1,0.6606,-0.5,-0.133333333,0.134444444
158,101,1,0.5571,-0.5,-0.116666667,0.146944444
159,101,1,0.5092,-0.5,-0.1,0.16
160,101,1,0.4685,-0.5,-0.083333333,0.173611111
161,101,1,0.6276,-0.5,-0.066666667,0.187777778
162,101,1,0.5886,-0.5,-0.05,0.2025
163,101,1,0.6051,-0.5,-0.033333333,0.217777778
164,101,1,0.5244,-0.5,-0.016666667,0.233611111
165,101,1,0.4611,-0.5,0,0.25
166,101,1,0.4932,-0.5,0.016666667,0.266944444
167,101,1,0.4529,-0.5,0.033333333,0.284444444
168,101,1,0.6371,-0.5,0.05,0.3025
169,101,1,0.4932,-0.5,0.066666667,0.321111111
170,101,0,0.6692,-0.5,0.083333333,0.340277778
171,101,0,0.021,-0.5,0.083333333,0.340277778
172,101,1,0.7477,-0.5,0.083333333,0.340277778
173,101,1,0.4688,-0.5,0.1,0.36
174,101,1,0.4932,-0.5,0.116666667,0.380277778
175,101,1,0.5007,-0.5,0.133333333,0.401111111
176,101,1,0.4932,-0.5,0.15,0.4225
177,101,1,0.5799,-0.5,0.166666667,0.444444444
178,101,1,0.6208,-0.5,0.183333333,0.466944444
179,101,1,0.6691,-0.5,0.2,0.49
180,101,0,0.621,-0.5,0.216666667,0.513611111
181,101,1,0.7326,-0.5,0.216666667,0.513611111
182,101,0,0.5003,-0.5,0.233333333,0.537777778
183,101,1,0.4855,-0.5,0.233333333,0.537777778
184,101,1,0.6049,-0.5,0.25,0.5625
185,101,0,0.208,-0.5,0.266666667,0.587777778
186,101,0,0.0145,-0.5,0.266666667,0.587777778
187,101,1,0.47,-0.5,0.266666667,0.587777778
188,101,0,0.5004,-0.5,0.283333333,0.613611111
189,101,1,0.5975,-0.5,0.283333333,0.613611111
190,101,1,0.5245,-0.5,0.3,0.64
191,101,1,0.5812,-0.5,0.316666667,0.666944444
192,101,1,0.5171,-0.5,0.333333333,0.694444444
193,101,1,0.4772,-0.5,0.35,0.7225
194,101,1,0.749,-0.5,0.366666667,0.751111111
195,101,0,0.5651,-0.5,0.383333333,0.780277778
196,101,1,0.7331,-0.5,0.383333333,0.780277778
197,101,1,0.5809,-0.5,0.4,0.81
198,101,1,0.5811,-0.5,0.416666667,0.840277778
199,101,1,0.1739,-0.5,0.433333333,0.871111111
200,101,1,0.6444,-0.5,0.45,0.9025
201,101,1,0.5648,-0.5,0.466666667,0.934444444
202,101,1,0.7332,-0.5,0.483333333,0.966944444
203,101,1,0.4703,-0.5,-0.5,0
204,101,1,0.5406,-0.5,-0.483333333,0.000277778
205,101,1,0.4291,-0.5,-0.466666667,0.001111111
206,101,1,0.533,-0.5,-0.45,0.0025
207,101,1,0.4688,-0.5,-0.433333333,0.004444444
208,101,1,0.4769,-0.5,-0.416666667,0.006944444
209,101,1,0.709,-0.5,-0.4,0.01
210,101,1,0.4293,-0.5,-0.383333333,0.013611111
211,101,1,0.5486,-0.5,-0.366666667,0.017777778
212,101,1,0.661,-0.5,-0.35,0.0225
213,101,1,0.5412,-0.5,-0.333333333,0.027777778
214,101,1,0.6292,-0.5,-0.316666667,0.033611111
215,101,1,0.533,-0.5,-0.3,0.04
216,101,1,0.6053,-0.5,-0.283333333,0.046944444
217,101,1,0.6292,-0.5,-0.266666667,0.054444444
218,101,1,0.4047,-0.5,-0.25,0.0625
219,101,1,0.5816,-0.5,-0.233333333,0.071111111
220,101,1,0.6369,-0.5,-0.216666667,0.080277778
221,101,1,0.445,-0.5,-0.2,0.09
222,101,1,0.6211,-0.5,-0.183333333,0.100277778
223,101,1,0.613,-0.5,-0.166666667,0.111111111
224,101,1,0.621,-0.5,-0.15,0.1225
225,101,1,0.5885,-0.5,-0.133333333,0.134444444
226,101,0,0.4447,-0.5,-0.116666667,0.146944444
227,101,1,0.6216,-0.5,-0.116666667,0.146944444
228,101,1,0.5012,-0.5,-0.1,0.16
229,101,1,0.6773,-0.5,-0.083333333,0.173611111
230,101,1,0.6765,-0.5,-0.066666667,0.187777778
231,101,1,0.6617,-0.5,-0.05,0.2025
232,101,1,0.6527,-0.5,-0.033333333,0.217777778
233,101,1,0.597,-0.5,-0.016666667,0.233611111
234,101,1,0.7572,-0.5,0,0.25
235,101,1,0.4771,-0.5,0.016666667,0.266944444
236,101,1,0.5725,-0.5,0.033333333,0.284444444
237,101,1,0.6351,-0.5,0.05,0.3025
238,101,1,0.5651,-0.5,0.066666667,0.321111111
239,101,1,0.5333,-0.5,0.083333333,0.340277778
240,101,1,0.5643,-0.5,0.1,0.36
241,101,1,0.6293,-0.5,0.116666667,0.380277778
242,101,1,0.4773,-0.5,0.133333333,0.401111111
243,101,1,0.6768,-0.5,0.15,0.4225
244,101,0,0.0771,-0.5,0.166666667,0.444444444
245,101,1,0.669,-0.5,0.166666667,0.444444444
246,101,0,0.1009,-0.5,0.183333333,0.466944444
247,101,1,0.1548,-0.5,0.183333333,0.466944444
248,101,1,0.6527,-0.5,0.2,0.49
249,101,1,0.3654,-0.5,0.216666667,0.513611111
250,101,1,0.5731,-0.5,0.233333333,0.537777778
251,101,1,0.6369,-0.5,0.25,0.5625
252,101,0,0.0853,-0.5,0.266666667,0.587777778
253,101,1,0.5249,-0.5,0.266666667,0.587777778
254,101,1,0.0128,-0.5,0.283333333,0.613611111
255,101,0,0.5246,-0.5,0.3,0.64
256,101,1,0.7336,-0.5,0.3,0.64
257,101,0,0.0221,-0.5,0.316666667,0.666944444
258,101,1,0.5961,-0.5,0.316666667,0.666944444
259,101,1,0.5973,-0.5,0.333333333,0.694444444
260,101,1,0.6528,-0.5,0.35,0.7225
261,101,1,0.6131,-0.5,0.366666667,0.751111111
262,101,1,0.5728,-0.5,0.383333333,0.780277778
263,101,1,0.5731,-0.5,0.4,0.81
264,101,1,0.6129,-0.5,0.416666667,0.840277778
265,101,1,0.485,-0.5,0.433333333,0.871111111
266,101,1,0.7089,-0.5,0.45,0.9025
267,101,1,0.5717,-0.5,0.466666667,0.934444444
268,101,1,0.7171,-0.5,0.483333333,0.966944444
269,101,1,0.4915,-0.5,-0.5,0
270,101,1,0.533,-0.5,-0.483333333,0.000277778
271,101,1,0.397,-0.5,-0.466666667,0.001111111
272,101,1,0.6454,-0.5,-0.45,0.0025
273,101,1,0.5645,-0.5,-0.433333333,0.004444444
274,101,1,0.6609,-0.5,-0.416666667,0.006944444
275,101,1,0.493,-0.5,-0.4,0.01
276,101,1,0.661,-0.5,-0.383333333,0.013611111
277,101,1,0.5409,-0.5,-0.366666667,0.017777778
278,101,1,0.3964,-0.5,-0.35,0.0225
279,101,1,0.3968,-0.5,-0.333333333,0.027777778
280,101,1,0.4131,-0.5,-0.316666667,0.033611111
281,101,1,0.62,-0.5,-0.3,0.04
282,101,1,0.5571,-0.5,-0.283333333,0.046944444
283,101,1,0.4371,-0.5,-0.266666667,0.054444444
284,101,1,0.5647,-0.5,-0.25,0.0625
285,101,1,0.5568,-0.5,-0.233333333,0.071111111
286,101,1,0.4365,-0.5,-0.216666667,0.080277778
287,101,1,0.3889,-0.5,-0.2,0.09
288,101,1,0.509,-0.5,-0.183333333,0.100277778
289,101,1,0.7489,-0.5,-0.166666667,0.111111111
290,101,1,0.4848,-0.5,-0.15,0.1225
291,101,0,0.4287,-0.5,-0.133333333,0.134444444
292,101,0,0.2223,-0.5,-0.133333333,0.134444444
293,101,1,0.0844,-0.5,-0.133333333,0.134444444
294,101,1,0.4679,-0.5,-0.116666667,0.146944444
295,101,1,0.5733,-0.5,-0.1,0.16
296,101,0,0.5728,-0.5,-0.083333333,0.173611111
297,101,1,0.124,-0.5,-0.083333333,0.173611111
298,101,1,0.3965,-0.5,-0.066666667,0.187777778
299,101,1,0.6599,-0.5,-0.05,0.2025
300,101,1,0.5883,-0.5,-0.033333333,0.217777778
301,101,1,0.4129,-0.5,-0.016666667,0.233611111
302,101,1,0.4749,-0.5,0,0.25
303,101,1,0.6047,-0.5,0.016666667,0.266944444
304,101,1,0.6995,-0.5,0.033333333,0.284444444
305,101,1,0.6051,-0.5,0.05,0.3025
306,101,1,0.6933,-0.5,0.066666667,0.321111111
307,101,1,0.637,-0.5,0.083333333,0.340277778
308,101,1,0.677,-0.5,0.1,0.36
309,101,1,0.4932,-0.5,0.116666667,0.380277778
310,101,1,0.5964,-0.5,0.133333333,0.401111111
311,101,0,0.5479,-0.5,0.15,0.4225
312,101,1,0.4209,-0.5,0.15,0.4225
313,101,1,0.6448,-0.5,0.166666667,0.444444444
314,101,0,0.0458,-0.5,0.183333333,0.466944444
315,101,1,0.59,-0.5,0.183333333,0.466944444
316,101,1,0.6044,-0.5,0.2,0.49
317,101,1,0.6291,-0.5,0.216666667,0.513611111
318,101,1,0.5174,-0.5,0.233333333,0.537777778
319,101,1,0.5327,-0.5,0.25,0.5625
320,101,1,0.5248,-0.5,0.266666667,0.587777778
321,101,1,0.5331,-0.5,0.283333333,0.613611111
322,101,1,0.7253,-0.5,0.3,0.64
323,101,1,0.5889,-0.5,0.316666667,0.666944444
324,101,1,0.5011,-0.5,0.333333333,0.694444444
325,101,1,0.5968,-0.5,0.35,0.7225
326,101,1,0.0934,-0.5,0.366666667,0.751111111
327,101,1,0.581,-0.5,0.383333333,0.780277778
328,101,1,0.557,-0.5,0.4,0.81
329,101,1,0.5411,-0.5,0.416666667,0.840277778
330,101,1,0.4849,-0.5,0.433333333,0.871111111
331,101,1,0.645,-0.5,0.45,0.9025
332,101,1,0.5646,-0.5,0.466666667,0.934444444
333,101,1,0.5968,-0.5,0.483333333,0.966944444
334,101,1,0.5493,0.5,-0.5,0
335,101,1,0.7325,0.5,-0.483333333,0.000277778
336,101,1,0.6369,0.5,-0.466666667,0.001111111
337,101,1,0.5165,0.5,-0.45,0.0025
338,101,1,0.4843,0.5,-0.433333333,0.004444444
339,101,1,0.6043,0.5,-0.416666667,0.006944444
340,101,1,0.6122,0.5,-0.4,0.01
341,101,1,0.565,0.5,-0.383333333,0.013611111
342,101,1,0.5965,0.5,-0.366666667,0.017777778
343,101,1,0.5881,0.5,-0.35,0.0225
344,101,1,0.5242,0.5,-0.333333333,0.027777778
345,101,1,0.7233,0.5,-0.316666667,0.033611111
346,101,1,0.644,0.5,-0.3,0.04
347,101,0,0.0787,0.5,-0.283333333,0.046944444
348,101,0,0.4523,0.5,-0.283333333,0.046944444
349,101,1,0.0448,0.5,-0.283333333,0.046944444
350,101,0,0.3816,0.5,-0.266666667,0.054444444
351,101,1,0.5079,0.5,-0.266666667,0.054444444
352,101,1,0.7484,0.5,-0.25,0.0625
353,101,1,0.7319,0.5,-0.233333333,0.071111111
354,101,1,0.4597,0.5,-0.216666667,0.080277778
355,101,1,0.5246,0.5,-0.2,0.09
356,101,0,0.1925,0.5,-0.183333333,0.100277778
357,101,1,0.6205,0.5,-0.183333333,0.100277778
358,101,1,0.5644,0.5,-0.166666667,0.111111111
359,101,1,0.0778,0.5,-0.15,0.1225
360,101,1,0.5021,0.5,-0.133333333,0.134444444
361,101,1,0.7398,0.5,-0.116666667,0.146944444
362,101,1,0.5408,0.5,-0.1,0.16
363,101,0,0.3211,0.5,-0.083333333,0.173611111
364,101,1,0.4921,0.5,-0.083333333,0.173611111
365,101,1,0.6674,0.5,-0.066666667,0.187777778
366,101,1,0.6203,0.5,-0.05,0.2025
367,101,1,0.6767,0.5,-0.033333333,0.217777778
368,101,0,0.0982,0.5,-0.016666667,0.233611111
369,101,0,0.065,0.5,-0.016666667,0.233611111
370,101,1,0.5243,0.5,-0.016666667,0.233611111
371,101,1,0.5726,0.5,0,0.25
372,101,1,0.5889,0.5,0.016666667,0.266944444
373,101,1,0.4845,0.5,0.033333333,0.284444444
374,101,1,0.6206,0.5,0.05,0.3025
375,101,1,0.5084,0.5,0.066666667,0.321111111
376,101,1,0.508,0.5,0.083333333,0.340277778
377,101,0,0.6207,0.5,0.1,0.36
378,101,0,0.2205,0.5,0.1,0.36
379,101,1,0.6202,0.5,0.1,0.36
380,101,1,0.7166,0.5,0.116666667,0.380277778
381,101,1,0.6358,0.5,0.133333333,0.401111111
382,101,1,0.5806,0.5,0.15,0.4225
383,101,1,0.6764,0.5,0.166666667,0.444444444
384,101,1,0.0482,0.5,0.183333333,0.466944444
385,101,1,0.5815,0.5,0.2,0.49
386,101,0,0.4286,0.5,0.216666667,0.513611111
387,101,0,0.3165,0.5,0.216666667,0.513611111
388,101,1,0.684,0.5,0.216666667,0.513611111
389,101,1,0.0268,0.5,0.233333333,0.537777778
390,101,1,0.7171,0.5,0.25,0.5625
391,101,0,0.5171,0.5,0.266666667,0.587777778
392,101,0,0.0631,0.5,0.266666667,0.587777778
393,101,1,0.7237,0.5,0.266666667,0.587777778
394,101,1,0.6288,0.5,0.283333333,0.613611111
395,101,1,0.0083,0.5,0.3,0.64
396,101,0,0.5572,0.5,0.316666667,0.666944444
397,101,0,0.2487,0.5,0.316666667,0.666944444
398,101,0,0.5806,0.5,0.316666667,0.666944444
399,101,1,0.7319,0.5,0.316666667,0.666944444
400,101,1,0.5803,0.5,0.333333333,0.694444444
401,101,1,0.7484,0.5,0.35,0.7225
402,101,1,0.5401,0.5,0.366666667,0.751111111
403,101,0,0.6531,0.5,0.383333333,0.780277778
404,101,0,0.0847,0.5,0.383333333,0.780277778
405,101,1,0.5962,0.5,0.383333333,0.780277778
406,101,1,0.6369,0.5,0.4,0.81
407,101,1,0.5726,0.5,0.416666667,0.840277778
408,101,1,0.6846,0.5,0.433333333,0.871111111
409,101,1,0.6689,0.5,0.45,0.9025
410,101,1,0.4587,0.5,0.466666667,0.934444444
411,101,1,0.6122,0.5,0.483333333,0.966944444
412,101,1,0.5379,-0.5,-0.5,0
413,101,1,0.5007,-0.5,-0.483333333,0.000277778
414,101,1,0.5009,-0.5,-0.466666667,0.001111111
415,101,1,0.4846,-0.5,-0.45,0.0025
416,101,1,0.549,-0.5,-0.433333333,0.004444444
417,101,1,0.613,-0.5,-0.416666667,0.006944444
418,101,1,0.4771,-0.5,-0.4,0.01
419,101,1,0.532,-0.5,-0.383333333,0.013611111
420,101,1,0.525,-0.5,-0.366666667,0.017777778
421,101,1,0.6686,-0.5,-0.35,0.0225
422,101,1,0.509,-0.5,-0.333333333,0.027777778
423,101,1,0.4686,-0.5,-0.316666667,0.033611111
424,101,1,0.6614,-0.5,-0.3,0.04
425,101,1,0.6044,-0.5,-0.283333333,0.046944444
426,101,1,0.725,-0.5,-0.266666667,0.054444444
427,101,1,0.3813,-0.5,-0.25,0.0625
428,101,1,0.7165,-0.5,-0.233333333,0.071111111
429,101,0,0.0429,-0.5,-0.216666667,0.080277778
430,101,1,0.6135,-0.5,-0.216666667,0.080277778
431,101,1,0.5409,-0.5,-0.2,0.09
432,101,1,0.5967,-0.5,-0.183333333,0.100277778
433,101,1,0.6207,-0.5,-0.166666667,0.111111111
434,101,1,0.557,-0.5,-0.15,0.1225
435,101,1,0.7086,-0.5,-0.133333333,0.134444444
436,101,1,0.677,-0.5,-0.116666667,0.146944444
437,101,0,0.6133,-0.5,-0.1,0.16
438,101,0,0.0595,-0.5,-0.1,0.16
439,101,1,0.4766,-0.5,-0.1,0.16
440,101,1,0.6619,-0.5,-0.083333333,0.173611111
441,101,1,1.00E-04,-0.5,-0.066666667,0.187777778
442,101,0,0.0888,-0.5,-0.05,0.2025
443,101,1,0.5017,-0.5,-0.05,0.2025
444,101,1,0.749,-0.5,-0.033333333,0.217777778
445,101,1,0.4898,-0.5,-0.016666667,0.233611111
446,101,1,0.5965,-0.5,0,0.25
447,101,1,0.6845,-0.5,0.016666667,0.266944444
448,101,1,0.6615,-0.5,0.033333333,0.284444444
449,101,0,0.0673,-0.5,0.05,0.3025
450,101,0,0.0561,-0.5,0.05,0.3025
451,101,0,0.0371,-0.5,0.05,0.3025
452,101,1,0.6288,-0.5,0.05,0.3025
453,101,0,0.0001,-0.5,0.066666667,0.321111111
454,101,1,0.5577,-0.5,0.066666667,0.321111111
455,101,1,0.5649,-0.5,0.083333333,0.340277778
456,101,1,0.6453,-0.5,0.1,0.36
457,101,1,0.5328,-0.5,0.116666667,0.380277778
458,101,1,0.5328,-0.5,0.133333333,0.401111111
459,101,0,0.5412,-0.5,0.15,0.4225
460,101,0,0.1972,-0.5,0.15,0.4225
461,101,1,0.6523,-0.5,0.15,0.4225
462,101,1,0.0093,-0.5,0.166666667,0.444444444
463,101,0,0.605,-0.5,0.183333333,0.466944444
464,101,0,0.3746,-0.5,0.183333333,0.466944444
465,101,1,0.0241,-0.5,0.183333333,0.466944444
466,101,1,0.6546,-0.5,0.2,0.49
467,101,0,0.5561,-0.5,0.216666667,0.513611111
468,101,1,0.2688,-0.5,0.216666667,0.513611111
469,101,1,0.7406,-0.5,0.233333333,0.537777778
470,101,1,0.7012,-0.5,0.25,0.5625
471,101,1,0.0299,-0.5,0.266666667,0.587777778
472,101,1,0.6689,-0.5,0.283333333,0.613611111
473,101,1,0.6449,-0.5,0.3,0.64
474,101,1,0.7246,-0.5,0.316666667,0.666944444
475,101,0,0.5169,-0.5,0.333333333,0.694444444
476,101,0,0.7349,-0.5,0.333333333,0.694444444
477,101,0,0.1297,-0.5,0.333333333,0.694444444
478,101,1,0.5647,-0.5,0.333333333,0.694444444
479,101,1,0.7089,-0.5,0.35,0.7225
480,101,1,0.7252,-0.5,0.366666667,0.751111111
481,101,1,0.7014,-0.5,0.383333333,0.780277778
482,101,1,0.5797,-0.5,0.4,0.81
483,101,0,0.6367,-0.5,0.416666667,0.840277778
484,101,1,0.669,-0.5,0.416666667,0.840277778
485,101,0,0.1234,-0.5,0.433333333,0.871111111
486,101,1,0.6693,-0.5,0.433333333,0.871111111
487,101,0,0.6529,-0.5,0.45,0.9025
488,101,0,0.2446,-0.5,0.45,0.9025
489,101,1,0.0758,-0.5,0.45,0.9025
490,101,1,0.725,-0.5,0.466666667,0.934444444
491,101,1,0.7405,-0.5,0.483333333,0.966944444
492,101,1,0.535,0.5,-0.5,0
493,101,1,0.5638,0.5,-0.483333333,0.000277778
494,101,1,0.6683,0.5,-0.466666667,0.001111111
495,101,1,0.6039,0.5,-0.45,0.0025
496,101,1,0.5564,0.5,-0.433333333,0.004444444
497,101,1,0.5327,0.5,-0.416666667,0.006944444
498,101,0,0.516,0.5,-0.4,0.01
499,101,0,0.0229,0.5,-0.4,0.01
500,101,1,0.5951,0.5,-0.4,0.01
501,101,1,0.6281,0.5,-0.383333333,0.013611111
502,101,1,0.4836,0.5,-0.366666667,0.017777778
503,101,1,0.4526,0.5,-0.35,0.0225
504,101,1,0.556,0.5,-0.333333333,0.027777778
505,101,1,0.516,0.5,-0.316666667,0.033611111
506,101,1,0.7,0.5,-0.3,0.04
507,101,1,0.6439,0.5,-0.283333333,0.046944444
508,101,1,0.5326,0.5,-0.266666667,0.054444444
509,101,1,0.7404,0.5,-0.25,0.0625
510,101,1,0.715,0.5,-0.233333333,0.071111111
511,101,1,0.596,0.5,-0.216666667,0.080277778
512,101,1,0.5958,0.5,-0.2,0.09
513,101,1,0.6598,0.5,-0.183333333,0.100277778
514,101,0,0.5087,0.5,-0.166666667,0.111111111
515,101,0,0.2279,0.5,-0.166666667,0.111111111
516,101,1,0.6682,0.5,-0.166666667,0.111111111
517,101,1,0.6353,0.5,-0.15,0.1225
518,101,1,0.7557,0.5,-0.133333333,0.134444444
519,101,1,0.612,0.5,-0.116666667,0.146944444
