,subj_idx,response,rt,showprog_c,progress_c,progress_c2
1,101,1,0.6961,-0.5,-0.5,0
2,101,1,0.1449,-0.5,-0.483333333,0.000277778
3,101,1,0.5961,-0.5,-0.466666667,0.001111111
4,101,1,0.5403,-0.5,-0.45,0.0025
5,101,1,0.741,-0.5,-0.433333333,0.004444444
6,101,1,0.6054,-0.5,-0.416666667,0.006944444
7,101,1,0.6928,-0.5,-0.4,0.01
8,101,0,0.0044,-0.5,-0.383333333,0.013611111
9,101,1,0.6618,-0.5,-0.383333333,0.013611111
10,101,1,0.613,-0.5,-0.366666667,0.017777778
11,101,1,0.6053,-0.5,-0.35,0.0225
12,101,1,0.5651,-0.5,-0.333333333,0.027777778
13,101,1,0.5971,-0.5,-0.316666667,0.033611111
14,101,1,0.5734,-0.5,-0.3,0.04
15,101,1,0.5555,-0.5,-0.283333333,0.046944444
16,101,1,0.6517,-0.5,-0.266666667,0.054444444
17,101,1,0.5569,-0.5,-0.25,0.0625
18,101,1,0.6609,-0.5,-0.233333333,0.071111111
19,101,1,0.5252,-0.5,-0.216666667,0.080277778
20,101,1,0.549,-0.5,-0.2,0.09
21,101,1,0.6447,-0.5,-0.183333333,0.100277778
22,101,1,0.5321,-0.5,-0.166666667,0.111111111
23,101,1,0.645,-0.5,-0.15,0.1225
24,101,1,0.6208,-0.5,-0.133333333,0.134444444
25,101,0,0.1028,-0.5,-0.116666667,0.146944444
26,101,0,0.6288,-0.5,-0.116666667,0.146944444
27,101,0,0.013,-0.5,-0.116666667,0.146944444
28,101,1,0.6921,-0.5,-0.116666667,0.146944444
29,101,1,0.5252,-0.5,-0.1,0.16
30,101,1,0.0415,-0.5,-0.083333333,0.173611111
31,101,1,0.4856,-0.5,-0.066666667,0.187777778
32,101,1,0.0208,-0.5,-0.05,0.2025
33,101,1,0.7156,-0.5,-0.033333333,0.217777778
34,101,0,0.5722,-0.5,-0.016666667,0.233611111
35,101,0,0.2691,-0.5,-0.016666667,0.233611111
36,101,1,0.5651,-0.5,-0.016666667,0.233611111
37,101,1,0.7329,-0.5,0,0.25
