,mean,std,2.5q,25q,50q,75q,97.5q,mc err,p_err,geweke,P
a_Intercept,2.7784315428842152,0.3517520863781776,2.19859148678579,2.5322819639205303,2.751321102300418,2.988648752918275,3.5677351212119723,0.01778688986781217,0.05056655114957593,-0.03902700925958323,0.0
a_showprog_c,-0.037412331711075886,0.011475971342294524,-0.059932069964198656,-0.045271358126107,-0.037024104967865096,-0.029699508138205304,-0.015872912044067503,0.0006007327694945117,0.052347008508161735,-0.17688675875381885,0.0020000000000000018
a_progress_c,0.023844431735206,0.02074054500495549,-0.01645368589242305,0.008885288723564984,0.023548631582852343,0.03862080526418651,0.06341049243126878,0.0012382338680117517,0.05970112490852595,-0.05632953833824392,0.13666666666666671
a_showprog_c:progress_c,-0.06815735037336024,0.03726670103572257,-0.14229632628816313,-0.09220181669499417,-0.06682930082239136,-0.04434072033788921,0.0027441642944340122,0.0017720459006021125,0.04755038281771951,-0.1748113278484856,0.028666666666666618
v_Intercept,3.6524119381306095,0.335935739272589,2.982435939495828,3.421222487856839,3.6623925487190894,3.8819736204440383,4.28400317255677,0.009659649118842034,0.028754455062621028,0.21480700791951404,0.0
v_showprog_c,-0.03241153448704453,0.032349518377425446,-0.09677994949941557,-0.054009936545984474,-0.03221135051922011,-0.010519370694106564,0.031048285895722616,0.0014722028636538697,0.045509266829802976,0.044762133230893106,0.16066666666666662
v_progress_c,-0.3253811514908796,0.044480362169698556,-0.4108886593185724,-0.3564079402110208,-0.3260455547426957,-0.29596729155962564,-0.23592121990846385,0.0018555045143232613,0.04171513953155917,-0.10179936267647752,0.0
v_progress_c2,1.4162890916822168,0.1300994699189284,1.1578594937213216,1.3326482921730334,1.4152189147554508,1.504211286588618,1.670784367402026,0.005315900647141221,0.040860279065347685,-0.03228227266580829,0.0
v_showprog_c:progress_c,0.2926935584343368,0.09262576111923462,0.11084373401468217,0.22963486720227447,0.29314673726721496,0.35610866546051023,0.47760443019051374,0.0037099905427816797,0.04005354987589154,0.06261674433768911,0.0013333333333332975
v_showprog_c:progress_c2,0.9529835039837408,0.2584377775625697,0.42662918761691354,0.7818121819032349,0.9604337936648765,1.124163611055506,1.4340996442799332,0.011707893987950144,0.045302564115710896,-0.035995713778613936,0.0006666666666667043
t_Intercept,0.2561736315324188,0.04785595787266081,0.17883368334952499,0.2247005694933396,0.2511205336129509,0.2795968919213927,0.38274957403220505,0.003439131780208006,0.07186423452977661,-0.14676898755176512,0.0
t_showprog_c,-0.002720060919423289,0.0013571152860726461,-0.0052581773054886215,-0.0036269992902157513,-0.0027492035594590923,-0.0018536077063203201,0.00013827129580711972,9.611172379586247e-05,0.07082060365998827,0.23136035439924285,0.030000000000000027
t_progress_c,0.010519218394940365,0.0022696368303049344,0.006316877160280325,0.00900706797624305,0.01038719483134298,0.011993630898062725,0.01514049544983774,0.00017400800258908378,0.07666777356873661,-0.13355235743269966,0.0
t_showprog_c:progress_c,-0.005796359507408343,0.003558166409406403,-0.013052453748983225,-0.0078805361128711,-0.005878705248814689,-0.003421754168094783,0.0015274014211248662,0.00024000558353528065,0.06745204015776203,0.3032825494620476,0.05400000000000005
