,mean,std,2.5q,25q,50q,75q,97.5q,mc err,p_err,geweke,P
a_Intercept,2.7784315428842152,0.3517520863781776,2.19859148678579,2.5322819639205303,2.751321102300418,2.988648752918275,3.5677351212119723,0.01778688986781217,0.05056655114957593,-0.03902700925958323,0.0
a_Intercept_std,2.26979109877641,0.36493911289630276,1.684705330525097,2.011838856913574,2.2167028760863476,2.4866176837907394,3.149104395673363,0.018852227998780967,0.05165855709233835,,
a_Intercept_subj.53,1.5382400226447632,0.05232659591277591,1.4417252751109448,1.5024425051908297,1.5360865766695015,1.5745841461046477,1.6472325792680977,0.003048382526114554,0.05825684764963413,,
a_Intercept_subj.54,1.145523350763229,0.02792169864937301,1.0923381355291908,1.126545124957577,1.1444793126739854,1.1644726651352264,1.1998732107850882,0.00140737906451621,0.050404493014174594,,
a_Intercept_subj.55,1.2369516964763685,0.025124791493215923,1.1899851122483587,1.2192817268224891,1.2366563582815884,1.2535665972369174,1.2878948846806673,0.001005998332416534,0.04004006690714902,,
a_Intercept_subj.56,7.141576445873743,0.2171087139775173,6.69986564050986,6.996452880605502,7.146965449899412,7.287048564047022,7.563259771919416,0.019063103871704765,0.08780441614922396,,
a_Intercept_subj.57,6.6015570128208685,0.1783307149617549,6.26168556216932,6.472215172814993,6.6024417611580954,6.716263014156202,6.960215178274626,0.015237320070198526,0.08544417081188929,,
a_Intercept_subj.58,1.339754772486054,0.03594831748833771,1.2681670522790043,1.3159950021871656,1.3397815632610621,1.3636917574774725,1.41110613086468,0.001581083018234648,0.043982114566212455,,
a_Intercept_subj.59,6.3691578274307,0.2120247796320973,5.9492386841228635,6.222614922193112,6.375335610067841,6.515830471265392,6.785554038225875,0.018307017800891435,0.0863437652554458,,
a_Intercept_subj.60,1.1246610183425814,0.023986125326236188,1.0803383451594137,1.1076319754730657,1.1244520549670647,1.140821584193728,1.1745534231149601,0.0010054530575431076,0.041918110735598306,,
a_Intercept_subj.62,7.408086709624585,0.6900553915447243,4.457388117884251,7.3427560413043,7.57539505371488,7.744720419466667,8.047874102890265,0.06815267167023285,0.09876405938611625,,
a_Intercept_subj.63,1.197236419343042,0.03943300563042226,1.129270449174591,1.169142940550867,1.1946608457880805,1.2241922190397498,1.2826144140861833,0.0022794017260701093,0.057804412563255594,,
a_Intercept_subj.64,1.5323446785390211,0.06744384259270272,1.4231045147397268,1.491192498279931,1.5275108958334587,1.5639537050903196,1.677519712709524,0.004824278924761442,0.0715303093552297,,
a_Intercept_subj.65,1.211971678798185,0.03720552176912857,1.1405737444402453,1.1875386034589428,1.21050491421711,1.2366707135612693,1.2893006545187715,0.0021310958660813732,0.057279021090080734,,
a_Intercept_subj.66,1.0947156854637319,0.025868948872105918,1.049022737638842,1.0767599975697215,1.0931874243433115,1.110164937158983,1.1518369624278033,0.0011660573724859354,0.04507556059779749,,
a_Intercept_subj.67,6.712490998838779,0.2781657754639862,6.015635542719339,6.560932377465634,6.739460767207649,6.905286267442031,7.151928620187919,0.02566160691707351,0.09225292678177043,,
a_Intercept_subj.68,1.2955076285349134,0.030763213882753354,1.2382388312675907,1.2734899055050026,1.2938872540819317,1.3171455417613382,1.3581534047242731,0.0013727051947454117,0.0446216445387387,,
a_Intercept_subj.69,1.5802877674119615,0.06212222242132645,1.46357641198834,1.5377181176131909,1.5774188483920124,1.6179219939781617,1.7084195319636004,0.004099227922323385,0.06598649826983857,,
a_Intercept_subj.70,1.3204791652656616,0.036375278359077216,1.2547806226541716,1.295492068522053,1.3191682667132634,1.3434316011307514,1.395129475989099,0.0018906657501964312,0.05197666754692003,,
a_Intercept_subj.71,1.4161279649879328,0.037378636392692476,1.3430672939506143,1.3919597200555078,1.4153254458524662,1.439959399572309,1.490178411386744,0.0017837637887099015,0.047721478385943136,,
a_Intercept_subj.72,1.4269803856223033,0.044956809561870155,1.3417722445847953,1.3957138794709043,1.4266584708033758,1.4574949685169571,1.5158088025307197,0.002713892883277653,0.0603666699155499,,
a_Intercept_subj.73,1.3401919915487441,0.03627958677461845,1.2738154589191213,1.3140510976089916,1.3387482303462854,1.363795828645884,1.4148790815458017,0.0017680937437700131,0.048735222778418984,,
a_Intercept_subj.74,1.1533578123299055,0.02385615797178659,1.11046589074037,1.1366053669173215,1.1526426698330905,1.1694414751436342,1.2032461824264054,0.0009374022636877789,0.03929393261045616,,
a_Intercept_subj.75,1.2581259378561165,0.03956161018845985,1.181924657753819,1.231855372718788,1.2578107816530608,1.2838164524232298,1.3385174473451031,0.0023153700924225247,0.05852567884352492,,
a_Intercept_subj.76,1.302475585916498,0.03221614605396008,1.2381677774122535,1.2803100321006955,1.3033000012342733,1.324353352889747,1.3650009470015771,0.0016343334271522966,0.05073025880919734,,
a_Intercept_subj.78,9.087027167938738,0.5404863290371347,7.797645517200523,8.817090348041438,9.176276504367097,9.475304845652955,9.924776300692304,0.0530503533969667,0.09815299767428866,,
a_Intercept_subj.81,7.774057977306762,0.2390179392411908,7.237231116839511,7.623852520384836,7.786768493783301,7.948144881707074,8.193623846068123,0.021518174705131902,0.0900274463642585,,
a_Intercept_subj.82,0.9313956021945995,0.01513528714387182,0.9009378776461696,0.9208908646598137,0.9316995718864188,0.9419798619906552,0.9597035179553908,0.00050339617054472,0.03325977008295755,,
