"","b_(Intercept)","b_showprog_c","b_progress_c","b_progress_c2","b_reward_c","b_showprog_c:progress_c","b_showprog_c:progress_c2","p_(Intercept)","p_showprog_c","p_progress_c","p_progress_c2","p_reward_c","p_showprog_c:progress_c","p_showprog_c:progress_c2","sim","N"
"1",485.236011068715,-5.72680734144275,62.8319476354568,-52.7358398781175,1.82534747696114,-42.89143522254,-207.194698074669,1.41001222305436e-07,0.511073093712883,3.01017834954937e-10,0.162011093002688,0.753300282404271,0.0303390843293415,0.00607400114832516,1,5
"2",491.932213755594,-22.9360701028137,65.1666861553336,-23.4925883414732,10.8181594679,-32.5716484541358,-64.0293880751107,1.52558565249116e-06,0.00992250457148963,1.49268799583725e-10,0.541016326441196,0.0678511004407268,0.106529672345259,0.404864014382351,2,5
"3",501.997140280875,-10.9459059414044,49.5787128331922,-94.1963269965352,20.057405636684,-61.3140495487945,-16.8678488518027,8.64324356991845e-08,0.209651258130265,6.34425084017664e-07,0.0126674042080723,0.000578373156954794,0.00200441812059663,0.823145840672556,3,5
"4",502.721145665181,-8.32047084862039,63.3343217887349,-80.1253762625929,15.9197893969835,-33.6888647718197,-190.778780844795,5.47692012942897e-07,0.315954156567454,2.70152858352388e-11,0.0257289638493566,0.00404897383736932,0.0738900815116085,0.00795453356738958,4,5
"5",490.895765818149,-0.861712566694265,47.8610739124017,-21.6721856956398,4.56203878833714,-31.7244601004721,-232.574945927703,1.41098421420918e-06,0.917425437671768,4.53942174577747e-07,0.546733247986254,0.41028023029691,0.0929652010817122,0.00125138658751608,5,5
"6",496.102467048283,-9.64673560521357,44.6389505030522,-79.285180312219,15.2557135173861,-44.6308320436557,-164.590400282491,1.92271591465059e-06,0.25749347461796,4.31035479313964e-06,0.0315843967843861,0.00728875378049676,0.0211575188118322,0.025676274818802,6,5
"7",480.776019107739,-22.5998532740474,43.8109343853761,8.10594587893366,7.99924605759438,-37.4629861082889,59.3252261621558,4.39869678428413e-08,0.0106297808817622,1.35810629827852e-05,0.832043604130692,0.174470507974135,0.0620214339300723,0.43775376068692,7,5
"8",492.157936872276,-11.4988010658622,46.4355730044648,-43.9739745858762,19.7268435206464,-68.9309270476467,-184.540670020537,1.0082044506487e-05,0.18717899414007,2.98859969924932e-06,0.243617951956016,0.000704079734793108,0.00051181062949061,0.0145166506204105,8,5
"9",490.383217631448,-6.97961230902312,43.600780416259,-44.4241249751251,17.8651461905618,-50.9296082930791,-133.814338068141,2.95826320766481e-22,0.424585244220929,1.20695195593376e-05,0.240173691936784,0.0022072335881573,0.0103844396066899,0.0770034988190023,9,5
"10",511.054030890966,-13.5803672814891,40.4440500337988,-73.5450274036074,11.143544745096,-38.0913719299927,-103.750857165337,0,0.110564938619095,3.01250922745575e-05,0.0458476950661965,0.0495390383461615,0.0487825620978395,0.158822970988241,10,5
