id,age,sex,block,start,resistance,pain,trial,trialinblock,pfilled,common,odd,odd_idx,rt,acc,time
999,,,practice,NA,NA,NA,NA,0,NA,stim/oddball_up.png,stim/oddball_down.png,1,0.522665,1,1655825268.886173
999,,,0,0.8,0.019132714071154563,1,1,1,0.7788085752824463,stim/oddball_up.png,stim/oddball_down.png,1,0.504011,1,1655825280.394148
999,,,0,0.8,0.019132714071154563,1,2,2,0.7523708053915984,stim/oddball_down.png,stim/oddball_up.png,1,0.454041,1,1655825280.849583
999,,,0,0.8,0.019132714071154563,1,3,3,0.7279500463968313,stim/oddball_up.png,stim/oddball_down.png,1,0.47403,1,1655825281.324944
999,,,0,0.8,0.019132714071154563,1,4,4,0.7044208087398232,stim/oddball_up.png,stim/oddball_down.png,2,0.486477,1,1655825281.812897
999,,,0,0.8,0.019132714071154563,1,5,5,0.767741474940927,stim/oddball_down.png,stim/oddball_up.png,1,NA,0,1655825282.563357
999,,,0,0.8,0.019132714071154563,1,6,6,0.7376989984024178,stim/oddball_down.png,stim/oddball_up.png,2,0.422842,1,1655825282.987708
999,,,0,0.8,0.019132714071154563,1,7,7,0.7815066361818748,stim/oddball_up.png,stim/oddball_down.png,1,0.619522,0,1655825283.607496
999,,,0,0.8,0.019132714071154563,1,8,8,0.7553650655773761,stim/oddball_down.png,stim/oddball_up.png,1,0.459338,1,1655825284.068293
999,,,0,0.8,0.019132714071154563,1,9,9,0.7232907942946237,stim/oddball_down.png,stim/oddball_up.png,1,0.399064,1,1655825284.468818
999,,,0,0.8,0.019132714071154563,1,10,10,0.7710298585135781,stim/oddball_up.png,stim/oddball_down.png,1,0.648806,0,1655825285.117896
999,,,0,0.8,0.019132714071154563,1,11,11,0.7860899964604466,stim/oddball_down.png,stim/oddball_up.png,2,0.364922,0,1655825285.483123
999,,,0,0.8,0.019132714071154563,1,12,12,0.7499244563917602,stim/oddball_up.png,stim/oddball_down.png,1,0.353368,1,1655825285.837991
999,,,0,0.8,0.019132714071154563,1,13,13,0.7347419628251352,stim/oddball_up.png,stim/oddball_down.png,2,0.556588,1,1655825286.396046
999,,,0,0.8,0.019132714071154563,1,14,14,0.7081170960366567,stim/oddball_up.png,stim/oddball_down.png,1,0.454256,1,1655825286.851811
999,,,0,0.8,0.019132714071154563,1,15,15,0.694363335980024,stim/oddball_down.png,stim/oddball_up.png,2,0.564665,1,1655825287.417962
999,,,0,0.8,0.019132714071154563,1,16,16,0.6671662766781767,stim/oddball_down.png,stim/oddball_up.png,2,0.451677,1,1655825287.871076
999,,,0,0.8,0.019132714071154563,1,17,17,0.6575043919145133,stim/oddball_up.png,stim/oddball_down.png,0,0.598857,1,1655825288.471424
999,,,0,0.8,0.019132714071154563,1,18,18,0.6392137525948727,stim/oddball_up.png,stim/oddball_down.png,1,0.528477,1,1655825289.001429
999,,,0,0.8,0.019132714071154563,1,19,19,0.6128591392191922,stim/oddball_up.png,stim/oddball_down.png,0,0.454912,1,1655825289.45771
999,,,0,0.8,0.019132714071154563,1,20,20,0.5903048970181649,stim/oddball_down.png,stim/oddball_up.png,2,0.492913,1,1655825289.952093
999,,,0,0.8,0.019132714071154563,1,21,21,0.6243828743076335,stim/oddball_up.png,stim/oddball_down.png,1,0.546827,0,1655825290.499209
999,,,0,0.8,0.019132714071154563,1,22,22,0.612011370571971,stim/oddball_up.png,stim/oddball_down.png,0,0.573626,1,1655825291.074288
999,,,0,0.8,0.019132714071154563,1,23,23,0.5833048090076804,stim/oddball_up.png,stim/oddball_down.png,0,0.433599,1,1655825291.509385
999,,,0,0.8,0.019132714071154563,1,24,24,0.5578596079706877,stim/oddball_up.png,stim/oddball_down.png,1,0.468127,1,1655825291.979003
999,,,0,0.8,0.019132714071154563,1,25,25,0.587715232510307,stim/oddball_down.png,stim/oddball_up.png,1,0.511142,0,1655825292.490397
999,,,0,0.8,0.019132714071154563,1,26,26,0.5438472788497403,stim/oddball_up.png,stim/oddball_down.png,1,0.237212,1,1655825292.729139
999,,,0,0.8,0.019132714071154563,1,27,27,0.5608292424401854,stim/oddball_up.png,stim/oddball_down.png,0,0.387115,0,1655825293.116511
