,mean,std,2.5q,25q,50q,75q,97.5q,mc err,p_err,geweke,P
a_Intercept,2.5250384179438945,0.41981306276459895,1.7864707321186513,2.237127918260656,2.4858532845335857,2.7689959191657256,3.499335399122625,0.022475093925600733,0.05353595664126143,-0.0026342838919173914,0.0
a_Intercept_std,2.323453806449715,0.473897172995236,1.6308278366646798,1.985526263251737,2.245073819677697,2.571041850651924,3.5072123072300094,0.02613594920297551,0.05515109752139891,,
a_Intercept_subj.1,1.0672237452778788,0.02485191203482433,1.0198585533929234,1.050456480265919,1.0653601025430837,1.0837244722753354,1.1178921332857008,0.0011349312157937742,0.04566776247249809,,
a_Intercept_subj.3,1.0897928124675904,0.026400891167588533,1.0381615501930859,1.0736203116927188,1.0885549100095024,1.1067113113718785,1.1452699478284918,0.001297718938647705,0.0491543611315996,,
a_Intercept_subj.4,1.2569887805600812,0.03012755777857958,1.2039443854541267,1.2355016751010681,1.256067148369096,1.2758758550146727,1.3201988854511388,0.001439123814321935,0.04776768913360575,,
a_Intercept_subj.5,1.2344503991174822,0.012542988642873943,1.2096496115339517,1.2255784016445495,1.2348497799816853,1.2434296633038366,1.25762750208454,0.00039310965451332385,0.031340987838385834,,
a_Intercept_subj.7,8.505685969765722,1.0614847822284774,7.089818620279927,7.665350551690078,8.235173814249888,9.126174417651297,10.935357590156498,0.10769549623488053,0.10145740950594222,,
a_Intercept_subj.8,1.5301338160463775,0.02370461618156917,1.4832209698233751,1.5139746782015093,1.5300781147501823,1.5457633693931165,1.5777749617892125,0.0007800649129945409,0.03290772172894567,,
a_Intercept_subj.10,1.1081291348861586,0.06275202995694083,1.0260676507125435,1.058929198409776,1.0854337862851196,1.1629148340762747,1.2379957964968877,0.0058784525708282685,0.09367748859856714,,
a_Intercept_subj.12,1.1431981098453732,0.023966859503874602,1.0990867357081993,1.12605463903489,1.1420983506735727,1.15984820407146,1.1914979581933012,0.0010756517274685753,0.04488079580450163,,
a_Intercept_subj.17,1.0477371273138418,0.02255293416846696,1.0057614119925649,1.0323923423658916,1.0472209189327326,1.0628408241088787,1.0940394508518019,0.001101608562784311,0.048845465275403364,,
a_Intercept_subj.18,1.293243306383954,0.03257346699810724,1.2341577467605414,1.2698085628834948,1.2933900485346916,1.314764486422348,1.3579691941307563,0.0016995381767219073,0.052175538355209876,,
a_Intercept_subj.20,1.5137117252514103,0.05540543907043051,1.4156690497950688,1.478088410356282,1.5098657752520606,1.5487979256475413,1.6448932747407103,0.0038398368464127065,0.06930433023970024,,
