,0
linear_avt,-5658.961495278052
quadratic_a,-5659.003546931495
quadratic_v,-5780.513695069439
quadratic_t,-5678.0742008624275
quadratic_av,-5770.205505401383
quadratic_at,-5687.695703672759
quadratic_vt,-5774.062392078697
quadratic_avt,-5777.477765318529
