,count,mean,std,min,2.5%,50%,97.5%,max,P,Geweke
a_Intercept,3000.0,2.150634594834573,0.17628621859882201,1.538824286994423,1.8410466540481623,2.138284872330517,2.5232457177091216,2.8496237953743897,0.0,-1.7207648287402484
a_progress_c,3000.0,0.15873574830250103,0.010504064917939766,0.12190774358636418,0.13678402798366557,0.15856344006618597,0.17901540735001745,0.19690089532361343,0.0,-12.33389282065942
a_progress_c2,3000.0,-0.09724730360401199,0.012389672049197564,-0.14147881726550476,-0.1217332381679718,-0.09708868726123945,-0.07355397402115843,-0.057113337947429024,0.0,9.410503500932032
a_showprog_c,3000.0,0.007986427693957009,0.004956269912188628,-0.007845600582091723,-0.001881065182628979,0.008146363418102081,0.017694615705049554,0.024708863277168563,0.06133333333333333,1.1119762979253867
a_showprog_c:progress_c,3000.0,-0.0860942262909544,0.011804190067426024,-0.12502504120368954,-0.10997413006501455,-0.08592960558815887,-0.06353492856113745,-0.0489443657262682,0.0,1.1689392633110947
a_showprog_c:progress_c2,3000.0,-0.18726329405704184,0.014109646549929576,-0.23428297765311545,-0.21537676014837984,-0.18733032792455967,-0.15995037958790978,-0.14322332088084638,0.0,-2.7073701756364406
t_Intercept,3000.0,0.013577585296762241,0.011161014268573468,0.0010026599261630225,0.001343343345729586,0.010641856622221245,0.04274455826278107,0.07988170857995312,0.0,-0.3181597093747693
t_progress_c,3000.0,8.723617857556024e-05,0.0003578583396974019,-0.001373790871486246,-0.0005949461736226376,6.833631203178174e-05,0.0008252872578626114,0.0013338339455828553,0.4236666666666667,-0.6756529212618907
t_progress_c2,3000.0,0.00021854716996367536,0.00040256112317981407,-0.0009523747255121568,-0.000557149096225235,0.00019761500687074708,0.0010963828340764196,0.002047078900338506,0.2816666666666667,1.6100403637240717
t_showprog_c,3000.0,-0.00015767278101969098,0.0002741376354574643,-0.0014895168667704375,-0.0007562044610836963,-0.00013826076885193735,0.00033179892725045086,0.0007736644684405032,0.28600000000000003,1.492444433392452
t_showprog_c:progress_c,3000.0,-0.0003096646065350448,0.000586740007164421,-0.003005957959413558,-0.0015964301874818163,-0.0002481925871104849,0.0007243488210685956,0.001890356796878552,0.30400000000000005,1.4762971365964952
theta_Intercept,3000.0,1.285023979274615,0.013567330849587455,1.206089515787697,1.249683228478207,1.2888586132879711,1.2995986083219087,1.299984237892781,0.0,-1.3295786208224594
theta_progress_c,3000.0,0.012416256133070222,0.002198212525955972,0.004676320011428093,0.008040236397986565,0.012402740118165695,0.016991732051806863,0.020332640619558792,0.0,-9.690734056260661
theta_progress_c2,3000.0,-0.009922629165723574,0.0029257033877850528,-0.021898402964414882,-0.016603378439551047,-0.009650663336129236,-0.005000713333407784,-0.0017367676680549483,0.0,8.178232820279906
theta_showprog_c,3000.0,0.0017947013082352092,0.0007245310339670597,-0.0010759304432702305,0.0002869390813795663,0.0018221190128668635,0.0032391143838494253,0.004173333717028493,0.012333333333333333,-0.5786241151871363
v_Intercept,3000.0,2.983441152766689,0.016077946081995597,2.8659510853603316,2.9415057716171407,2.9881993551338084,2.9995721826809256,2.99999088518582,0.0,-0.2532143021375242
v_progress_c,3000.0,-0.028201294892572806,0.010000012825087426,-0.06523648589422926,-0.047710601955785324,-0.028136799717579868,-0.008704779205633244,0.0063608999904800345,0.002666666666666706,1.5695775512953036
v_progress_c2,3000.0,0.10788539717386332,0.01598960783634511,0.054922587144326546,0.07992658344445859,0.10577293099215168,0.14167140354343546,0.15388010522514128,0.0,-3.4517010894447067
v_showprog_c,3000.0,-0.020177755928892024,0.009818968191185051,-0.05205283477093406,-0.03962610044982496,-0.020082035170161144,-0.001068764830609515,0.013169580861140711,0.021333333333333315,0.17641953400988813
v_showprog_c:progress_c,3000.0,-0.0042004667373984105,0.005025490426214945,-0.024628976978721698,-0.014308580555121988,-0.004137396029229308,0.005427149926018121,0.013452220356603713,0.19799999999999995,-0.8809710463168909
v_showprog_c:progress_c2,3000.0,0.18078352550339408,0.02861188040079151,0.08694058158798582,0.13410497498498236,0.17790414768103027,0.24810328037831403,0.295363967984412,0.0,-1.703869912245147
z,3000.0,0.32875910245486534,0.012547062802088014,0.2701583539847284,0.30463290714350555,0.328639558167538,0.35403981690919006,0.36825236828168717,0.0,-1.118895278778747
