,count,mean,std,min,2.5%,50%,97.5%,max,P,Geweke
a_Intercept,3000.0,2.150634594834573,0.17628621859882201,1.538824286994423,1.8410466540481623,2.138284872330517,2.5232457177091216,2.8496237953743897,0.0,-1.7207648287402484
a_Intercept_std,3000.0,0.8637107671749251,0.09082643037376914,0.5649548595330721,0.6725950028762756,0.8753203959080219,0.993692382093751,0.9998122419704183,0.0,1.7048116809528062
a_Intercept_subj.101,3000.0,2.1196562829074947,0.034800756680818945,2.001964789200712,2.0494646148842524,2.12038757987729,2.192267461576032,2.248235432747866,0.0,-2.528057115589583
a_Intercept_subj.103,3000.0,0.9432008311814831,0.04371389247630719,0.831720818962093,0.8649365876123866,0.9410238536637612,1.0409552752847104,1.1278163131592016,0.0,12.415936589092773
a_Intercept_subj.104,3000.0,2.003061665372264,0.03761934010297304,1.8914127028729715,1.9284710129359186,2.0035301713388973,2.079779955861425,2.117799042201396,0.0,-0.47447861496221616
a_Intercept_subj.105,3000.0,0.8427625339627463,0.01696274345035279,0.786228537323193,0.8095154721598765,0.8433373733723695,0.8750641349439047,0.908968281839832,0.0,-4.0235031854055014
a_Intercept_subj.107,3000.0,1.8856927237971592,0.06389449466118952,1.665857584534359,1.761806909027375,1.886520623001289,2.0122252398094354,2.112432164705543,0.0,3.7387053644024952
a_Intercept_subj.108,3000.0,2.046928500336234,0.026986470145862675,1.9534920495742996,1.9925494805086998,2.04745555691387,2.1029014513188917,2.135997612073422,0.0,-2.144021570886453
a_Intercept_subj.110,3000.0,2.0385836333411866,0.034333508076623255,1.9336846081523493,1.9714700737626882,2.039450684336714,2.1068358741518423,2.148372625410265,0.0,1.6765795957668872
a_Intercept_subj.112,3000.0,1.1452955259996314,0.06331906227275517,0.9959790584770264,1.0370488969198248,1.139915966443266,1.2894251578787528,1.3658153858507547,0.0,-2.3489514827197855
a_Intercept_subj.117,3000.0,2.0687776483990774,0.03280397477482963,1.9699718526351953,2.006949948522068,2.0681564792278397,2.135024568294172,2.1890650941950485,0.0,4.4366298227601
a_Intercept_subj.118,3000.0,1.9673816017125791,0.04714765131603404,1.8289484508937437,1.8810709763145337,1.9667391452929563,2.0628508802335297,2.1312747406689554,0.0,-5.80919018603913
